Sr No,DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter,Notf No, BAL CIF ,Pamolein Oil,Amend,Pamolein Qty,WHEY,Amend, WHEY QTY ,Skimmed,Amend, Skimmed QTY ,DF,Amend, DF QTY ,FF,Amend, FF QTY , VAL 10% 
1,310829956,27/06/19,30/06/20,03/91/076/00020/AM18,RANI INTERNATIO,019/2005,"92,049.00",15119020,Not Required, -   ,4041020,Not Required, -   ,4021010,35022000," 6,295.00 ",23023000,8023100," 4,721.00 ",29124200,8023100," 2,518.00 "," 12,287.00 "
2,310829982,28/06/19,30/06/20,03/91/076/00087/AM18,RAMA EXPORTS,019/2005,"52,300.00",15119020,Not Required, -   ,4041020,Not Required, -   ,4021010,35022000," 4,438.00 ",23023000,8023100," 3,328.00 ",29124200,8023100," 1,775.00 "," 7,378.00 "
3,310830441,19/07/19,30/07/20,03/91/076/00074/AM18,RANI INTERNATIO,019/2005,"70,115.00",15119020,Not Required, -   ,4041020,Not Required, -   ,4021010,35022000," 3,373.00 ",23023000,8023100," 2,717.00 ",29124200,8023100," 1,449.00 "," 8,810.00 "
4,310830480,23/07/19,31/07/20,03/91/076/00025/AM19,RANI INTERNATIO,019/2005,"90,560.00",15119020,Not Required, -   ,4041020,Not Required, -   ,4021010,35022000," 6,858.00 ",23023000,8023100," 5,218.00 ",29124200,8023100," 2,783.00 "," 12,235.00 "
5,310833846,02/01/20,31/01/21,03/92/076/00016/AM19,PARLE PRODUCTS ,019/2005,"26,58,942.00",15119020,Not Required,"8,04,406.00",35022000,Not Required, -   ,,,,11082000,8023100," 1,34,067.00 ",8062010,8023100," 71,502.00 "," 5,02,138.00 "
6,310834927,18/02/20,28/02/21,03/91/076/00027/AM19,RANI INTERNATIO,019/2005,"15,090.00",15119010,15119020,"3,893.00",,,,4021010,35022000, 865.00 ,,,,29124100,8023100, 346.00 ," 1,608.00 "
7,310834966,21/02/20,28/02/21,03/91/076/00014/AM19,RAMA EXPORTS,019/2005,"93,797.00",15119010,15119020,"28,041.00",,,,4041010,35022000," 6,231.00 ",,,,29124100,8023100," 2,492.00 "," 9,875.00 "
8,310834974,21/02/20,28/02/21,03/91/076/00019/AM19,RANI INTERNATIO,019/2005,"87,509.00",15119010,15119020,"25,779.00",,,,4021010,35022000," 10,025.00 ",,,,29124100,8023100," 2,291.00 "," 9,406.00 "
9,310834976,21/02/20,28/02/21,03/91/076/00115/AM19,RAMA EXPORTS,019/2005,"1,17,698.00",15119010,15119020,"32,833.00",,,,4042010,35022000," 7,296.00 ",,,,8020000,Not Required," 2,918.00 "," 11,770.00 "
10,310836033,30/04/20,30/04/21,03/92/076/00077/AM19,PARLE PRODUCTS ,019/2005,"24,19,603.00",15119020,Not Required,"7,94,851.00",35022000,Not Required, 4.00 ,,,,11082000,8023100," 1,32,475.00 ",8062010,8023100," 70,653.00 "," 4,75,782.00 "
11,310837994,31/08/20,31/08/21,03/91/076/00026/AM19,RAMA EXPORTS,019/2005,"1,28,993.00",15119020,Not Required,"28,822.00",4041010,4041020," 4,803.00 ",4021010,35022000," 6,405.00 ",23023000,8023100," 4,803.00 ",29124200,8023100," 2,562.00 "," 12,899.00 "
12,310837998,31/08/20,31/08/21,03/91/076/00003/AM20,RAMA EXPORTS,019/2005,"73,538.00",15119020,Not Required,"19,129.00",,,,4042010,35022000," 4,251.00 ",,,,29124100,8023100, -   ," 7,354.00 "
13,310838098,04/09/20,30/09/21,03/84/076/00016/AM20,DEEPA INTERNATI,019/2005,"11,596.00",15119020,Not Required, -   ,35022000,Not Required, -   ,,,,8022200,8023100," 1,778.00 ",8022200,8023100, 948.00 ," 4,379.00 "
14,310838101,04/09/20,30/09/21,03/84/076/00071/AM19,DEEPA INTERNATI,019/2005,"16,329.00",15119020,Not Required, -   ,35022000,Not Required," 1,937.00 ",,,,11082000,8023100," 1,881.00 ",8062010,8023100," 1,003.00 "," 3,933.00 "
15,310838340,17/09/20,30/09/21,03/91/076/00141/AM20,RANI INTERNATIO,019/2005,"12,172.00",15119020,Not Required, -   ,,,,4042010,35022000, 846.00 ,,,,29124100,8023100, -   ," 1,617.00 "
16,310838342,17/09/20,30/09/21,03/91/076/00186/AM20,RAMA EXPORTS,019/2005,"14,948.00",15119020,Not Required, -   ,,,,4042010,35022000," 1,341.00 ",,,,29124100,8023100, -   ," 2,129.00 "
17,310838698,05/10/20,31/10/21,03/91/076/00189/AM20,RANI INTERNATIO,019/2005,"19,881.00",15119020,Not Required, -   ,,,,4042010,35022000," 2,678.00 ",,,,29124200,8023100, 158.00 ," 2,539.00 "
18,310838864,14/10/20,31/10/21,03/83/076/00051/AM19,CONTINENTAL EXP,019/2005,"2,32,962.00",15119020,Not Required,"84,071.00",35022000,Not Required," 32,694.00 ",,,,8022200,8023100," 14,011.00 ",8022200,8023100," 7,473.00 "," 23,296.00 "
19,310838914,15/10/20,31/10/21,03/84/076/00064/AM20,DEEPA INTERNATI,019/2005,"54,745.00",15119020,Not Required,1,35022000,Not Required," 6,328.00 ",,,,8022200,8023100," 2,712.00 ",8022200,8023100," 1,446.00 "," 7,534.00 "
20,310838915,15/10/20,31/10/21,03/84/076/00029/AM19,DALSON FOOD IND,019/2005,"1,11,399.00",15119020,Not Required,"18,990.00",35022000,Not Required," 16,417.00 ",,,,11082000,8023100," 7,036.00 ",8062010,8023100," 3,752.00 "," 12,998.00 "
21,310838967,19/10/20,31/10/21,03/91/076/00114/AM19,RAMA EXPORTS,019/2005,"79,151.00",15119020,Not Required,1,4041010,4041020," 4,025.00 ",4021010,35022000," 5,367.00 ",23023000,8023100," 4,025.00 ",29124200,8023100," 2,146.00 "," 10,471.00 "
22,310838970,19/10/20,31/10/21,03/88/076/00073/AM20,SHAKTI  FOOD  P,019/2005,"1,19,556.00",15119020,Not Required,"37,122.00",35022000,Not Required," 14,436.00 ",,,,8022200,8023100," 6,187.00 ",8022200,8023100," 3,299.00 "," 12,454.00 "
23,310839189,28/10/20,31/10/21,03/91/076/00264/AM20,RANI INTERNATIO,019/2005,"1,27,565.00",15119020,Not Required,"35,859.00",4041020,4041020," 7,968.00 ",4021010,35022000," 5,976.00 ",23023000,8023100," 5,976.00 ",29124200,8023100," 3,187.00 "," 13,683.00 "
,,,,,,,"67,00,498.00",,,"19,13,798.00",,," 88,612.00 ",,," 72,245.00 ",,,,,,," 11,66,575.00 "
,,,,,,,,,,,,,,,,,,,,,,,
DFIA,DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter,Notf No, BAL CIF ,Pamolein Oil,Amend,Pamolein Qty,WHEY,Amend, WHEY QTY ,Skimmed,Amend, Skimmed QTY ,DF,Amend, DF QTY ,FF,Amend, FF QTY , VAL 10% 
,310829966,27/06/19,27/12/20,03/91/076/00062/AM18,RANI INTERNATIO,019/2005,"62,067.00",15119010,15119020,"23,364.00",,15119020,,4021010,35022000," 5,192.00 ",,,,29124100,8023100," 2,076.00 "," 7,603.00 "
,310833589,20/12/19,31/12/20,03/89/076/00026/AM19,STRAINA INTERNA,019/2005,"62,462.00",15119020,Not Required, -   ,4041020,Not Required, -   ,,,,13022000,8023100," 2,789.00 ",29124200,8023100," 1,507.00 "," 8,832.00 "
,310833591,20/12/19,31/12/20,03/89/076/00029/AM19,STRAINA INTERNA,019/2005,"2,44,340.00",15119020,Not Required, -   ,4041020,Not Required," 1,236.00 ",,,,13022000,8023100, 768.00 ,29124200,8023100," 13,670.00 "," 54,629.00 "
,310830074,04/07/19,04/01/21,03/91/076/00035/AM18,RAMA EXPORTS,019/2005,"95,570.00",15119010,15119020,"29,649.00",,15119020,,4021010,35022000," 6,588.00 ",29072990,8023100, -   ,29124100,8023100," 2,635.00 "," 11,215.00 "
