sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
1,310681422,10/02/2012,16/07/2019,V A GLOBAL BUSINESS,42777,11090000,wheat flour,52263,INNSA1
,03/90/076/00061/AM12,,,,,17019990,cane sugar,0,
,,,,,,15119020,vegetable shortening fats / rbd palm oil,5,
,,,,,,21021020,leaving agent/ dough conditioner,1504,
,,,,,,38249090,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,376,
,,,,,,8023100,relevant (food flour / flavouring agent/ flavour imp-rovers),606,
,,,,,,11080000,starch,1880,
,,,,,,21000000,relevant food colour,37,
,,,,,,29000000,anti oxidant,37,
,,,,,,8023100,fruit / coco powder,3385,
,,,,,,8023100,dietary fibre,11284,
,,,,,,4041020,milk & milk products,25850,
,,,,,,39021000,packing material (ldpe/hdpe/pp),11581,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
2,310740606,08/07/2013,06/08/2019,LAXMI INTERNATIONAL,15510,11000000,wheat flour,570,INNSA1
,03/85/076/00009/AM14,,,,,17000000,cane sugar,0,
,,,,,,4000000,vegetable shortening fats / rbd palm oil,0,
,,,,,,4000000,leaving agent/ dough conditioner,0,
,,,,,,4000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,0,
,,,,,,9000000,relevant (food flour / flavouring agent/ flavour imp-rovers),0,
,,,,,,11000000,starch,1344,
,,,,,,21000000,relevant food colour,0,
,,,,,,29000000,anti oxidant,0,
,,,,,,8000000,fruit / coco powder,0,
,,,,,,8023100,dietary fibre,8069,
,,,,,,11000000,milk & milk products,0,
,,,,,,48000000,packing material (ldpe/hdpe/pp),4886,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
3,310740886,09/07/2013,10/09/2019,LAXMI INTERNATIONAL,46451,11000000,wheat flour,0,INNSA1
,03/85/076/00023/AM13,,,,,17000000,cane sugar,0,
,,,,,,18000000,vegetable shortening fats / rbd palm oil,58132,
,,,,,,4000000,leaving agent/ dough conditioner,1291,
,,,,,,4000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,322,
,,,,,,9000000,relevant (food flour / flavouring agent/ flavour imp-rovers),5167,
,,,,,,11000000,starch,1614,
,,,,,,21000000,relevant food colour,32,
,,,,,,29000000,anti oxidant,32,
,,,,,,8000000,fruit / coco powder,2906,
,,,,,,11000000,dietary fibre,9688,
,,,,,,35000000,milk & milk products,22607,
,,,,,,48000000,packing material (ldpe/hdpe/pp),25258,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
4,310729712,26/03/2013,17/09/2019,BRITANNIA INDUSTRIES  LTD,177670,11010000,wheat flour,51521,INNSA1
,03/82/076/00116/AM13,,,,,17019990,cane sugar,20393,
,,,,,,15119020,vegetable shortening fats / rbd palm oil,19320,
,,,,,,21021020,leaving agent/ dough conditioner,1717,
,,,,,,4000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,10,
,,,,,,8023100,relevant food flavour vanillin,966,
,,,,,,11080000,starch,7513,
,,,,,,21000000,relevant food colour sunset yellow,0,
,,,,,,29000000,anti oxidant (citric acid),0,
,,,,,,8023100,coco powder,0,
,,,,,,8023100,dietary fibre,0,
,,,,,,4041020,milk & milk products (skimmed milk powder),0,
,,,,,,39011090,packing material (ldpe/hdpe/pp),0,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
5,310721821,23/01/2013,17/09/2019,BRITANNIA INDUSTRIES  LTD,224014,11010000,wheat flour,89758,INNSA1
,03/82/076/00076/AM13,,,,,17019990,cane sugar,41779,
,,,,,,15119020,vegetable shortening fats / rbd palm oil,39581,
,,,,,,21021020,leaving agent/ dough conditioner,879,
,,,,,,4000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,219,
,,,,,,8023100,relevant (food flour / flavouring agent/ flavour imp-rovers),3518,
,,,,,,11080000,starch,1099,
,,,,,,21000000,relevant food colour,21,
,,,,,,29000000,anti oxidant,21,
,,,,,,8023100,fruit / coco powder,1979,
,,,,,,8023100,dietary fibre,6596,
,,,,,,4041020,milk & milk products,8684,
,,,,,,39011090,packing material (ldpe/hdpe/pp),22951,
,,,,,,39202090,bopp granules (12 to 15 gsm),0,
,,,,,,48101990,paper & paper board (100 to 300 gsm),0,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
6,310729706,26/03/2013,18/09/2019,BRITANNIA INDUSTRIES  LTD,300406,11010000,wheat flour,24374,INNSA1
,03/82/076/00083/AM13,,,,,17019990,cane sugar,53189,
,,,,,,15119020,vegetable shortening fats / rbd palm oil,50390,
,,,,,,21021020,leaving agent/ dough conditioner,4479,
,,,,,,4000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,27,
,,,,,,8023100,relevant food flavour vanillin,2519,
,,,,,,11080000,starch,19596,
,,,,,,21000000,relevant food colour sunset yellow,0,
,,,,,,29000000,anti oxidant (citric acid),0,
