DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter,BAL CIF,JUICE,JUICE QTY,OCI,OCI QTY,VAL 2%
310829977,28/06/19,30/06/20,03/92/076/00035/AM18,PARLE PRODUCTS ,1430921,8050000,338838,8062010,112979,43680
310830088,04/07/19,31/07/20,03/91/076/00051/AM18,RANI INTERNATIO,111510,20083010,24288,15119020,8096,3007
310833701,26/12/19,26/12/20,03/83/076/00021/AM19,J K INTERNATION,229965,8050000,63829,8062010,21276,7613
310833704,26/12/19,31/12/20,03/83/076/00015/AM19,CONTINENTAL EXP,84609,8050000,18901,8062010,6300,2309
310830434,19/07/19,18/01/21,03/91/076/00008/AM19,RANI INTERNATIO,95315,,,15119010,8428,2554
1310049493,02/01/20,31/01/21,13/21/076/00011/AM19,EURO EXPORTS PR,145468,20090000,33949,8022200,11316,3147
310834296,17/01/20,31/01/21,03/91/076/00088/AM18,RANI INTERNATIO,178562,,,15119010,8204,4221
310834611,03/02/20,28/02/21,03/88/076/00020/AM20,SHIVAM EXPORTS,98089,20090000,20171,8022200,6723,2107
310834894,17/02/20,28/02/21,03/91/079/00030/AM19,RAMA EXPORTS,110993,,,15119010,8322,2368
310835112,27/02/20,28/02/21,03/91/076/00118/AM19,RANI INTERNATIO,126698,,,15119010,9064,2687
310834980,21/02/20,28/02/21,03/91/076/00061/AM19,RANI INTERNATIO,127724,,,15119010,9122,2720
310834825,13/02/20,28/02/21,03/92/076/00093/AM18,PHOENIX IMPEX,174183,8050000,28207,8062010,9402,3484
310834962,21/02/20,28/02/21,03/91/076/00165/AM19,RAMA EXPORTS,183566,20083010,34808,15119010,11602,3902
310834960,21/02/20,28/02/21,03/91/076/00059/AM19,RANI INTERNATIO,202960,,,15119010,10507,4280
310834613,03/02/20,28/02/21,03-/88/076/00027/AM20,SHIVAM EXPORTS,204469,20090000,39349,8022200,13116,4400
310834614,03/02/20,28/02/21,03/88/076/00042/AM20,SHIVAM EXPORTS,210969,20090000,42098,8022200,14032,4559
310835584,20/03/20,31/03/21,03/91/076/00167/AM19,RANI INTERNATIO,99489,,,8020000,5683,2094
310835231,05/03/20,31/03/21,03/88/076/00088/AM19,SAGAR FOOD PROD,122477,20090000,28496,17040000,9498,2601
