Sr No,DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter, BAL CIF , AU & CIF Restriction , Juice , OCI , Milk , Flavour , Fruit Flavour ,Conversion
1,0310729488,25/03/13,06/08/18,03/84/076/00188/AM13,GENERAL EXPORT ," 92,950.00 ",," 10,550.00 ", -   ,, 379.00 ,,
2,0310732839,30/04/13,31/08/18,03/84/076/00013/AM14,GENERAL EXPORT ," 2,90,594.00 ",," 41,313.00 ", 441.00 ,, 44.00 ,,
3,0310717723,20/12/12,03/04/19,03/82/076/00066/AM13,BHAGWANJI & COM," 1,81,488.00 ",, -   ," 17,855.00 ",, 357.00 ,,
4,0310793650,06/02/15,22/09/19,03/87/076/00080/AM15,KHYATI ADVISORY," 1,405.00 ",, 591.00 , -   ,, 200.00 ,,
5,0310817639,08/12/17,02/10/19,09/92/076/00023/AM17,PARLE PRODUCTS ," 4,37,138.00 ", No ," 85,048.00 ",,, 566.00 ," 28,349.00 ",
6,0310824203,04/10/18,31/10/19,09/87/076/00030/AM17,KHYATI ADVISORY," 1,36,532.00 ", No ," 31,988.00 "," 10,662.00 ",, 213.00 ,,
7,0310824205,04/10/18,31/10/19,03/87/076/00013/AM18,KHYATI ADVISORY," 98,491.00 ", No ," 21,727.00 "," 7,242.00 ",, 144.00 ,,
8,0310825276,28/11/18,30/11/19,03/92/076/00002/AM18,PARLE PRODUCTS ," 4,36,224.00 ",," 1,07,331.00 ",,, 715.00 ," 35,777.00 ",
9,0310825235,27/11/18,30/11/19,03/90/076/00009/AM17,VANILA FOOD PRO," 22,77,122.00 ",," 5,27,090.00 "," 1,59,107.00 ",," 4,037.00 ",,
10,0310825251,28/11/18,30/11/19,03/90/076/00015/AM17,VIVA FOOD PRODU," 5,07,841.00 ",," 1,37,665.00 "," 44,942.00 ",," 1,863.00 ",,
11,0310825596,11/12/18,31/12/19,03/90/076/00026/AM15,VANILA FOOD PRO," 2,17,529.00 ",," 37,285.00 ", 942.00 ,," 1,505.00 ",,
12,0310826413,16/01/19,31/01/20,03/87/076/00055/AM16,KHYATI ADVISORY," 1,69,723.00 ",," 37,751.00 "," 12,583.00 ",, 251.00 ,,
13,0310828013,29/03/19,31/03/20,03/91/076/00049/AM18,RANI INTERNATIO," 1,03,884.00 ", Yes ," 23,050.00 "," 7,683.00 ",, 153.00 ,,
14,0310827444,05/03/19,31/03/20,03/93/076/00003/AM19,TOPAZ INTERNATI," 1,67,524.00 ",," 37,875.00 ",,, 252.00 ," 12,625.00 ",
15,0310828054,01/04/19,30/04/20,03/91/076/00019/AM18/,RAMA EXPORTS," 1,17,675.00 ", Yes ," 23,135.00 "," 7,711.00 ",, 154.00 ,,
16,0310828186,05/04/19,30/04/20,03/91/0769/00082/AM18,RAMA EXPORTS," 86,488.00 ", Yes ," 26,039.00 "," 8,679.00 ",, 173.00 ,,
17,0310828053,01/04/19,30/04/20,03/91/076/00021/AM18,RANI INTERNATIO," 1,02,061.00 ", Yes ," 19,440.00 "," 6,480.00 ",, 129.00 ,,
18,0310828181,05/04/19,30/04/20,03/91/076/00053/AM18,RANI INTERNATIO," 53,991.00 ", Yes ," 30,811.00 "," 10,270.00 ",, 205.00 ,,
19,0310828182,05/04/19,30/04/20,03/91/076/00009/AM19,RANI INTERNATIO," 1,13,764.00 ", Yes ," 25,865.00 "," 8,621.00 ",, 172.00 ,,
20,0310829056,15/05/19,30/05/20,03/09/076/00001/AM19,VIVA FOOD PRODU," 2,80,483.00 ",," 92,282.00 ",,, 615.00 ," 30,760.00 ",
21,0310829058,15/05/19,30/05/20,03/90/076/00018/AM18,VIVA FOOD PRODU," 1,14,459.00 ",," 36,102.00 ",,, 240.00 ," 12,034.00 ",
22,0310829894,25/06/19,30/06/20,03/84/076/00027/AM18,DELMORE TRADING," 54,642.00 ",," 10,168.00 ",,, 67.00 ," 3,389.00 ",
23,0310829977,28/06/19,30/06/20,03/92/076/00035/AM18,PARLE PRODUCTS ," 14,30,921.00 ", No ," 3,38,838.00 "," 1,12,979.00 ",," 2,259.00 ",,
24,0310829979,28/06/19,30/06/20,03/91/076/00052/AM18,RAMA EXPORTS," 1,13,195.00 ", Yes ," 31,007.00 "," 10,335.00 ",,,,
25,0310829991,28/06/19,30/06/20,03/91/076/00060/AM18,RAMA EXPORTS," 74,736.00 ", Yes ,," 6,913.00 ",,,,
