sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
1,0310688679,29/03/2012,16/07/2019,RANI INTERNATIONAL,39722,17000000,cane sugar,0,INNSA1
,03/91/076/00134/AM12,,,,,17000000,liquid glucose / fruit concentrate,60850,
,,,,,,20000000,relevant fruit (juice/pulp/puree),0,
,,,,,,29000000,citric acid/tartartic acid/malic acid (food grade relevant),401,
,,,,,,33000000,essential oil,0,
,,,,,,21000000,relevant food colour,30,
,,,,,,09000000,relevant food flavour,304,
,,,,,,04000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,304,
,,,,,,08000000,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",0,
,,,,,,48000000,packing material (ldpe/hdpe/pp),0,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
2,0310681423,10/02/2012,16/07/2019,V A GLOBAL BUSINESS,108931,17000000,cane sugar,0,INNSA1
,03/90/076/00062/AM12,,,,,17000000,liquid glucose / fruit concentrate,76500,
,,,,,,20000000,relevant fruit (juice/pulp/puree),0,
,,,,,,29000000,citric acid/tartartic acid/malic acid (food grade relevant),11475,
,,,,,,33000000,essential oil,1912,
,,,,,,21000000,relevant food colour,38,
,,,,,,09000000,relevant food flavour,382,
,,,,,,04000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,382,
,,,,,,08000000,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",0,
,,,,,,48000000,packing material (ldpe/hdpe/pp),6281,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
3,0310738493,21/06/2013,22/07/2019,RAMA EXPORTS,23740,17000000,cane sugar,6,INNSA1
,03/91/076/00005/AM14,,,,,17000000,liquid glucose / fruit concentrate,44152,
,,,,,,20000000,relevant fruit (juice/pulp/puree),550,
,,,,,,29000000,citric acid/tartartic acid/malic acid (food grade relevant),6622,
,,,,,,33000000,essential oil,0,
,,,,,,21000000,relevant food colour,22,
,,,,,,09000000,relevant food flavour,220,
,,,,,,04000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,220,
,,,,,,08000000,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",13,
,,,,,,48000000,paper board (100 gsm to 150 gsm),0,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
4,0310680626,07/02/2012,11/08/2019,RANI INTERNATIONAL,157544,17021100,cane sugar,2,INNSA1
,03/91/076/00008/AM12,,,,,20090000,liquid glucose / fruit concentrate,42388,
,,,,,,29180000,citric acid/tartartic acid/malic acid (food grade relevant),8765,
,,,,,,33000000,essential oil,0,
,,,,,,32000000,relevant food colour,29,
,,,,,,13000000,relevant food flavour,292,
,,,,,,13000000,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,292,
,,,,,,29630000,stabilizing agent / lubricants,146,
,,,,,,48101990,packing material (ldpe/hdpe/pp),14496,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
5,0310738485,21/06/2013,11/08/2019,RAMA EXPORTS,43191,17000000,cane sugar,25,INNSA1
,03/91/076/00030/AM14,,,,,17023010,liquid glucose / fruit concentrate,58075,
,,,,,,20000000,relevant fruit (juice/pulp/puree),56,
,,,,,,29181400,citric acid/tartartic acid/malic acid (food grade relevant),8711,
,,,,,,33000000,essential oil,0,
,,,,,,32041981,relevant food colour,29,
,,,,,,09000000,relevant food flavour,290,
,,,,,,29232010,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,290,
,,,,,,08000000,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",156,
,,,,,,48000000,packing material (ldpe/hdpe/pp),0,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
6,0310739005,25/06/2013,05/09/2019,KHYATI ADVISORY SERVICES LTD,11172,17019990,cane sugar,0,INNSA1
,03/87/076/00024/AM14,,,,,17023010,liquid glucose / fruit concentrate,40320,
,,,,,,20090000,relevant fruit (juice/pulp/puree),30240,
,,,,,,29181400,citric acid/tartartic acid/malic acid (food grade relevant),0,
,,,,,,33011200,essential oil,0,
,,,,,,32041981,relevant food colour,0,
,,,,,,33021090,relevant food flavour,0,
,,,,,,29232010,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,0,
,,,,,,15119020,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",10080,
,,,,,,39012000,packing material (ldpe/hdpe/pp),0,
,,,,,,39202090,paper board (100 gsm to 150 gsm),0,
,,,,,,48101990,paper & paper board (100 to 300 gsm),0,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
7,0310738219,19/06/2013,11/09/2019,RAMA EXPORTS,22931,17011490,cane sugar,0,INNSA1
,03/91/076/00004/AM14,,,,,17023010,liquid glucose / fruit concentrate,75152,
,,,,,,20083010,relevant fruit (juice/pulp/puree),1039,
,,,,,,29181400,citric acid/tartartic acid/malic acid (food grade relevant),11272,
,,,,,,33011200,essential oil,583,
,,,,,,32041981,relevant food colour,37,
,,,,,,33021090,relevant food flavour,375,
,,,,,,29232010,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,375,
,,,,,,15119020,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",0,
,,,,,,39012000,packing material (ldpe/hdpe/pp),5859,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
8,0310782452,22/05/2014,12/09/2019,KHYATI ADVISORY SERVICES LTD,None,17019990,cane sugar,0,INNSA1
,03/87/076/00008/AM15,,,,,17023010,liquid glucose / fruit concentrate,0,
,,,,,,20090000,relevant fruit (juice/pulp/puree),24850,
,,,,,,29181400,citric acid/tartartic acid/malic acid (food grade relevant),0,
,,,,,,33011200,essential oil,0,
,,,,,,32041981,relevant food colour,0,
,,,,,,33021090,relevant food flavour,0,
,,,,,,29232010,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,0,
,,,,,,15119020,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",8283,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
9,0310791395,25/11/2014,15/09/2019,KHYATI ADVISORY SERVICES LTD,116257,17019990,cane sugar,0,INNSA1
,03/87/076/00065/AM15,,,,,17023010,liquid glucose / fruit concentrate,37548,
,,,,,,20090000,relevant fruit (juice/pulp/puree),28161,
,,,,,,29181400,citric acid/tartartic acid/malic acid (food grade relevant),5632,
,,,,,,33011200,essential oil,938,
,,,,,,32041981,relevant food colour,18,
,,,,,,33021090,relevant food flavour,187,
,,,,,,29232010,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,187,
,,,,,,09083190,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",9387,
,,,,,,,,,
sr_no,license_number,license_date,license_expiry,exporter,value_balance,hs_code,import_item,quantity_balance,port
10,0310740548,05/07/2013,20/09/2019,RANI INTERNATIONAL,68344,17011490,cane sugar,0,INNSA1
,03/91/076/00040/AM14,,,,,17023010,liquid glucose / fruit concentrate,117859,
,,,,,,20000000,relevant fruit (juice/pulp/puree),14485,
,,,,,,29181400,citric acid/tartartic acid/malic acid (food grade relevant),17678,
,,,,,,33011200,essential oil,2946,
,,,,,,32041981,relevant food colour,58,
,,,,,,33021090,relevant food flavour,589,
,,,,,,29232010,emulsifier/ stabilizer/ glazing agent/ binders/ thickners,589,
,,,,,,08000000,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",0,
,,,,,,39012000,packing material (ldpe/hdpe/pp),6218,
,,,,,,,,,
,Total,,,,,,liquid glucose / fruit concentrate,552844,
,,,,,,,citric acid/tartartic acid/malic acid (food grade relevant),70155,
,,,,,,,essential oil,4858,
,,,,,,,packing material (ldpe/hdpe/pp),32854,
,,,,,,,relevant fruit (juice/pulp/puree),98775,
,,,,,,,"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",27750,
