Confectionery,,,,,,,,,,,,,,,
DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter,BAL CIF,OCI,,,DFIA No,DFIA Dt.,DFIA Exp,File No.,Exporter,BAL CIF,User Comment
310834613,03/02/20,28/02/21,03-/88/076/00027/AM20,SHIVAM EXPORTS,204469,08022200,,,0310827361,27/02/19,28/08/20,03/91/076/00018/AM18,RAMA EXPORTS,112467,Revalidation Required was in DGFT
310834611,03/02/20,28/02/21,03/88/076/00020/AM20,SHIVAM EXPORTS,98089,08022200,,,0310831148,21/08/19,31/08/20,03/87/076/00060/AM18,KITES BAKERS,106807,Individual Value & Quantity Error
310834614,03/02/20,28/02/21,03/88/076/00042/AM20,SHIVAM EXPORTS,210969,08022200,,,0310831149,21/08/19,31/08/20,03/87/076/00001/AM19,KITES BAKERS,119211,Individual Value & Quantity & Need Revalidation
310835198,04/03/20,31/03/21,03/88/076/00086/AM20,SHIVAM EXPORTS,135924,08022200,,,0310828052,01/04/19,01/10/20,03/91/076/00042/AM18,RAMA EXPORTS,122238,Expired Not Updated in NAVA SHEVA
310838099,04/09/20,30/09/21,03/84/076/00017/AM20,DEEPA INTERNATI,45823,08022200,,,0310830074,04/07/19,04/01/21,03/91/076/00035/AM18,RAMA EXPORTS,95570,Skimmed Milk 
310838205,10/09/20,30/09/21,03/90/076/00024/AM18,VANILA FOOD PRO,329615,08062010,,,0310830107,05/07/19,05/01/21,03/91/076/00036/AM18,RANI INTERNATIONAL,79433,Skimmed Milk 
310838862,14/10/20,14/10/21,03/83/076/00030/AM19,CONTINENTAL EXP,246896,08062010,,,0310830434,19/07/19,18/01/21,03/91/076/00008/AM19,RANI INTERNATIONAL,95315,Individual Value & Quantity
310830434,19/07/19,18/01/21,03/91/076/00008/AM19,RANI INTERNATIO,95315,15119010,,,0310833846,02/01/20,31/01/21,03/92/076/00016/AM19,PARLE PRODUCTS PVT.  LIMITED,2658942,Dietary Fibre HSN Code 10%
310834296,17/01/20,31/01/21,03/91/076/00088/AM18,RANI INTERNATIO,178562,15119010,,,0310834296,17/01/20,31/01/21,03/91/076/00088/AM18,RANI INTERNATIONAL,178562,Individual Value & Quantity
310834907,17/02/20,28/02/21,03/91/076/00045/AM19,RAMA EXPORTS,76683,15119010,,,0310834966,21/02/20,28/02/21,03/91/076/00014/AM19,RAMA EXPORTS,93797,Palm Oil Amd
310834967,21/02/20,28/02/21,03/91/076/00046/AM19,RAMA EXPORTS,63268,15119010,,,0310834976,21/02/20,28/02/21,03/91/076/00115/AM19,RAMA EXPORTS,117698,Individual Value & Quantity & Skimmed Milk 
310834896,17/02/20,28/02/21,03/91/076/00063/AM19,RAMA EXPORTS,52625,15119010,,,0310834825,13/02/20,28/02/21,03/92/076/00093/AM18,PHOENIX IMPEX,174183,License Not Registred
310834962,21/02/20,28/02/21,03/91/076/00165/AM19,RAMA EXPORTS,183566,15119010,,,0310834974,21/02/20,28/02/21,03/91/076/00019/AM19,RANI INTERNATIONAL,87509,Palm Oil Amd
310834894,17/02/20,28/02/21,03/91/079/00030/AM19,RAMA EXPORTS,110993,15119010,,,0310834927,18/02/20,28/02/21,03/91/076/00027/AM19,RANI INTERNATIONAL,15090,Palm Oil Amd
310834960,21/02/20,28/02/21,03/91/076/00059/AM19,RANI INTERNATIO,202960,15119010,,,0310834979,21/02/20,28/02/21,03/91/076/00166/AM19,RANI INTERNATIONAL,195650,License Not Registred
310834980,21/02/20,28/02/21,03/91/076/00061/AM19,RANI INTERNATIO,127724,15119010,,,0310835559,20/03/20,31/03/21,03/91/076/00042/AM19,RANI INTERNATIONAL,31039,License Not Registred
310835112,27/02/20,28/02/21,03/91/076/00118/AM19,RANI INTERNATIO,126698,15119010,,,0310835562,20/03/20,31/03/21,03/91/076/00117/AM19,RANI INTERNATIONAL,119765,License Not Registred
310834979,21/02/20,28/02/21,03/91/076/00166/AM19,RANI INTERNATIO,195650,15119010,,,0310835514,19/03/20,31/03/21,03/91/076/00057/AM19,RANI INTERNATIONAL,10847,Skimmed Milk 
310835559,20/03/20,31/03/21,03/91/076/00042/AM19,RANI INTERNATIO,31039,15119010,,,0310835340,09/03/20,31/03/21,03/88/076/00022/AM19,SADAF EXPORTS,101164,License Not Registred
310838036,01/09/20,30/09/21,03/91/076/00041/AM19,RANI INTERNATIO,154082,15119010,,,0310736634,05/06/13,08/04/21,03/91/076/00042/AM13,RAMA EXPORTS,325818,Packing Material (Ldpe/Hdpe/Pp) HSN CODE
310838037,01/09/20,30/09/21,03/91/076/00055/AM18,RANI INTERNATIO,134070,15119010,,,0310836033,30/04/20,30/04/21,03/92/076/00077/AM19,PARLE PRODUCTS PVT.  LIMITED,2419603,Dietry Fibre 10% Balance & HS Code
310838176,09/09/20,30/09/21,03/91/076/00060/AM19,RANI INTERNATIO,115767,15119010,,,0310837441,28/07/20,31/07/21,03/91/076/00232/AM19,RANI INTERNATIONAL,249207,License Not Registred
310838039,01/09/20,30/09/21,03/91/076/00119/AM19,RANI INTERNATIO,151263,15119010,,,0310837138,10/07/20,31/07/21,03/87/076/00028/AM20,NILONS ENTERPRISES PVT LTD,707825,200 MTS Sugar For Milan Bhai
310835515,19/03/20,31/03/21,03/91/076/00030/AM20,RANI INTERNATIO,179308,15119020,,,0310837998,31/08/20,31/08/21,03/91/076/00003/AM20,RAMA EXPORTS,73538,License Not Registred
310835562,20/03/20,31/03/21,03/91/076/00117/AM19,RANI INTERNATIO,119765,15119020,,,0310837994,31/08/20,31/08/21,03/91/076/00026/AM19,RAMA EXPORTS,128993,License Not Registred
310837441,28/07/20,31/07/21,03/91/076/00232/AM19,RANI INTERNATIO,249207,15119020,,,0310838039,01/09/20,30/09/21,03/91/076/00119/AM19,RANI INTERNATIONAL,151263,License Not Registred
310838320,16/09/20,30/09/21,03/91/076/00002/AM20,RAMA EXPORTS,152525,15119020,,,0310838342,17/09/20,31/10/21,03/91/076/00186/AM20,RANI INTERNATIONAL,14948,Skimmed Milk 
310838034,01/09/20,30/09/21,03/91/076/00115/AM20,RAMA EXPORTS,178825,15119020,,,0310838698,05/10/20,31/10/21,03/91/076/00189/AM20,RANI INTERNATIONAL,19881,Skimmed Milk 
310838326,16/09/20,30/09/21,03/91/076/00140/AM20,RAMA EXPORTS,147421,15119020,,,0310839189,28/10/20,31/10/21,03/91/076/00264/AM20,RANI INTERNATIONAL,127565,Skimmed Milk 
310838322,16/09/20,30/09/21,03/91/076/00190/AM20,RANI INTERNATIO,126742,15119020,,,0310838967,19/10/20,31/10/21,03/91/076/00114/AM19,RAMA EXPORTS,79151,Skimmed Milk 
310839062,22/10/20,31/10/21,03/91/076/00057/AM20,RAMA EXPORTS,192312,15119020,,,0310839460,10/11/20,30/11/21,03/91/076/00015/AM20,RANI INTERNATIONAL,66163,License Not Registred
310839069,22/10/20,31/10/21,03/91/076/00065/AM18,RAMA EXPORTS,143539,15119020,,,,,,,,,
310839125,26/10/20,31/10/21,03/91/076/00185/AM20,RAMA EXPORTS,274229,15119020,,,,,,,,,
310838697,05/10/20,31/10/21,03/91/076/00243/AM20,RAMA EXPORTS,171727,15119020,,,,,,,,,
310839116,26/10/20,31/10/21,03/91/076/00117/AM20,RANI INTERNATIO,194726,15119020,,,,,,,,,
310838758,07/10/20,31/10/21,03/91/076/00142/AM20,RANI INTERNATIO,377901,15119020,,,,,,,,,
310838966,19/10/20,31/10/21,03/91/076/00277/AM20,RANI INTERNATIO,154802,15119020,,,,,,,,,
310839139,26/10/20,31/10/21,03/91/076/00298/AM20,RANI INTERNATIO,170065,15119020,,,,,,,,,
310839460,10/11/20,30/11/21,03/91/076/00015/AM20,RANI INTERNATIO,66163,15119020,,,,,,,,,
310835231,05/03/20,31/03/21,03/88/076/00088/AM19,SAGAR FOOD PROD,122477,17040000,,,,,,,,,
Biscuits,,,,,,,,,,,,,,,
DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter,BAL CIF,DF,FF,M&M,Skimmed,PALM OIL,,,,,
310829966,27/06/19,27/12/20,03/91/076/00062/AM18,RANI INTERNATIO,62067,,29124100,,04021010,15119010,,,,,
310833589,20/12/19,31/12/20,03/89/076/00026/AM19,STRAINA INTERNA,62462,13022000,29124200,,,,,,,,
310833591,20/12/19,31/12/20,03/89/076/00029/AM19,STRAINA INTERNA,244340,13022000,29124200,,,,,,,,
310830074,04/07/19,04/01/21,03/91/076/00035/AM18,RAMA EXPORTS,95570,29072990,29124100,,04021010,15119010,,,,,
310830107,05/07/19,05/01/21,03/91/076/00036/AM18,RANI INTERNATIO,79433,29072990,29124100,,04021010,15119010,,,,,
310833846,02/01/20,31/01/21,03/92/076/00016/AM19,PARLE PRODUCTS ,2658942,11082000,08062010,,,,,,,,
310834966,21/02/20,28/02/21,03/91/076/00014/AM19,RAMA EXPORTS,93797,,29124100,,04021010,15119010,,,,,
310834976,21/02/20,28/02/21,03/91/076/00115/AM19,RAMA EXPORTS,117698,,,,04021010,15119010,,,,,
310834974,21/02/20,28/02/21,03/91/076/00019/AM19,RANI INTERNATIO,87509,,29124100,,04021010,15119010,,,,,
310834927,18/02/20,28/02/21,03/91/076/00027/AM19,RANI INTERNATIO,15090,,29124100,,04021010,15119010,,,,,
310835296,09/03/20,31/03/21,03/92/076/00104/AM19,PARLE PRODUCTS ,1511430,11082000,08062010,,,,,,,,
310835514,19/03/20,31/03/21,03/91/076/00057/AM19,RANI INTERNATIO,10847,23023000,29124200,04041010,04021010,,,,,,
310835340,09/03/20,31/03/21,03/88/076/00022/AM19,SADAF EXPORTS,101164,11082000,29124200,,,,,,,,
310836033,30/04/20,30/04/21,03/92/076/00077/AM19,PARLE PRODUCTS ,2419603,11082000,08062010,,,,,,,,
310837998,31/08/20,31/08/21,03/91/076/00003/AM20,RAMA EXPORTS,73538,,29124100,,04021010,,,,,,
310837994,31/08/20,31/08/21,03/91/076/00026/AM19,RAMA EXPORTS,128993,23023000,29124200,04041010,04021010,,,,,,
310838098,04/09/20,30/09/21,03/84/076/00016/AM20,DEEPA INTERNATI,11596,08022200,08022200,,,,,,,,
310838101,04/09/20,30/09/21,03/84/076/00071/AM19,DEEPA INTERNATI,16329,11082000,08022200,,,,,,,,
310838342,17/09/20,30/09/21,03/91/076/00186/AM20,RAMA EXPORTS,14948,,29124100,,04021010,,,,,,
310838340,17/09/20,30/09/21,03/91/076/00141/AM20,RANI INTERNATIO,12172,,29124100,,04021010,,,,,,
310838864,14/10/20,31/10/21,03/83/076/00051/AM19,CONTINENTAL EXP,232962,08022200,08022200,,,,,,,,
310838915,15/10/20,31/10/21,03/84/076/00029/AM19,DALSON FOOD IND,111399,11082000,08022200,,,,,,,,
310838914,15/10/20,31/10/21,03/84/076/00064/AM20,DEEPA INTERNATI,54745,08022200,08022200,,,,,,,,
310838967,19/10/20,31/10/21,03/91/076/00114/AM19,RAMA EXPORTS,79151,23023000,29124200,04041010,04021010,,,,,,
310838698,05/10/20,31/10/21,03/91/076/00189/AM20,RANI INTERNATIO,19881,,29124200,,04021010,,,,,,
310839189,28/10/20,31/10/21,03/91/076/00264/AM20,RANI INTERNATIO,127565,23023000,29124200,04041010,04021010,,,,,,
310838970,19/10/20,31/10/21,03/88/076/00073/AM20,SHAKTI  FOOD  P,119556,08022200,08022200,,,,,,,,
310838902,15/10/20,31/10/21,03/88/076/00028/AM20,SHREE BALAJI PR,137867,11080000,29124200,04041010,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
