SR.,TL DATE,ARO DATE,ARO NO.,EXPORTER,ITEM SR.,DFIA NO,DFIA DATE,QUANTITY,VALUE USD,VALUE INR,EXCHANGE 
1,12/02/20,20.02.2020,0359029701,RAMA EXPORTS,2,0310833197,04/12/19,"2,31,499.00","74,080.00","53,47,836.00",72.20
2,12/02/20,20.02.2020,0359029699,RAMA EXPORTS,2,0310833198,04/12/19,"1,44,780.00","46,330.00","33,44,563.00",72.20
3,11/02/20,19.02.2020,0359029684,RAMA EXPORTS,1,0310833286,09/12/19,"5,34,078.00","1,70,905.00","1,23,37,632.00",72.20
4,11/02/20,19.02.2020,0359029683,RAMA EXPORTS,1,0310833303,09/12/19,"5,36,627.00","1,71,721.00","1,23,96,539.00",72.20
5,11/02/20,19.02.2020,0359029688,RAMA EXPORTS,1,0310833305,09/12/19,"4,32,102.00","1,38,273.00","99,81,928.00",72.20
6,11/02/20,19.02.2020,0359029687,RANI INTERNATIONAL,1,0310833310,09/12/19,"4,73,706.00","1,51,586.00","1,09,42,994.00",72.20
7,11/02/20,19.02.2020,0359029686,RAMA EXPORTS,1,0310833321,10/12/19,"5,71,407.00","1,82,851.00","1,32,00,014.00",72.20
8,11/02/20,19.02.2020,0359029685,RAMA EXPORTS,1,0310833322,10/12/19,"5,59,158.00","1,78,931.00","1,29,17,029.00",72.20
9,03/02/20,11.02.2020,0359029627,STRAINA INTERNATIONAL PVT. LTD.,2,0310833589,20/12/19,"17,902.00","5,729.00","4,13,577.00",72.20
10,03/02/20,11.02.2020,0359029626,STRAINA INTERNATIONAL PVT. LTD.,2,0310833591,20/12/19,"1,62,337.00","51,948.00","37,50,127.00",72.20
,,,,,,,,"36,63,596.00","11,72,354.00","8,46,32,239.00",
