DFIA,DFIA DT,DFIA EXP,Notf No,Exporter, TOTAL CIF , BAL CIF , SUGAR QTY , HSN SU , ESSENTIAL OIL QTY , HSN E , VAL 5% , VAL 5% Utilized , VAL 5% Balance , Other Qty , Other , VAL 2% , VAL 2% Utilized , VAL 2% Balance , PP QTY , HSN PP , Paper & Paper Board , HSN PAP , Is Individual 
'0310835231,05/03/20,31/03/21,019/2015,SAGAR FOOD PROD," 1,30,046.33 "," 1,19,970.00 "," 1,13,984.00 ", '17019990 , 949.00 , '33021010 ," 6,502.00 ", -   ," 6,502.00 "," 8,198.00 ", '08020000 ," 2,600.00 "," 2,472.00 ", 128.00 , -   , '39020000 ,,, FALSE 
'0310835198,04/03/20,31/03/21,019/2015,SHIVAM EXPORTS," 1,49,609.66 "," 1,33,079.00 "," 1,22,778.00 ", '17019990 ," 1,023.00 ", '33021010 ," 7,480.00 ", -   ," 7,480.00 "," 1,496.00 ", '08020000 ," 2,992.00 "," 2,845.00 ", 147.00 , -   , '39020000 ,,, FALSE 
'0310835516,19/03/20,19/03/21,019/2015,RANI INTERNATIO," 24,26,651.83 "," 21,32,597.00 "," 16,81,636.00 ", '17010000 ," 14,013.00 ", '33021010 ," 1,21,332.00 ", -   ," 1,21,332.00 "," 1,15,407.00 ", '08020000 ," 48,533.00 "," 47,864.00 ", 669.00 , -   , '39021000 , -   , '48101990 , FALSE 
'0310835584,20/03/20,31/03/21,019/2015,RANI INTERNATIO," 1,04,713.18 "," 97,500.00 "," 68,205.00 ", '17010000 , 568.00 , '33021010 ," 5,235.00 ", -   ," 5,235.00 "," 4,637.00 ", '08023100 ," 2,094.00 "," 1,989.00 ", 105.00 , -   , '39021000 ," 3,012.00 ", '48101990 , FALSE 
'0310837231,16/07/20,31/07/21,019/2015,PHOENIX IMPEX," 96,446.09 "," 86,567.00 "," 60,240.00 ", '17011190 ,,," 4,822.00 ", -   ," 4,822.00 "," 4,078.00 ", '08023100 ," 1,928.00 "," 1,912.00 ", 16.00 , -   , '39021000 ,,, FALSE 
'0310837230,16/07/20,31/07/21,019/2015,PHOENIX IMPEX," 1,57,360.09 "," 1,43,611.00 "," 1,08,876.00 ", '17019990 , 907.00 , '33021010 ," 7,868.00 ", -   ," 7,868.00 "," 7,533.00 ", '08020000 ," 3,147.00 "," 3,125.00 ", 22.00 , -   , '39020000 ,,, FALSE 
'0310835515,19/03/20,31/03/21,019/2015,RANI INTERNATIO," 1,88,956.49 "," 1,79,308.00 "," 1,37,948.00 ", '17019990 ," 1,149.00 ", '33021010 ," 9,447.00 ", -   ," 9,447.00 "," 11,495.00 ", '15119020 ," 3,779.00 ", -   ," 3,779.00 ", -   , '39021000 ," 6,092.00 ", '48101990 , FALSE 
'0310838326,16/09/20,30/09/21,019/2015,RAMA EXPORTS," 1,55,230.27 "," 1,44,338.00 "," 1,09,470.00 ", '17019990 , 912.00 , '33011200 ," 7,761.00 ", -   ," 7,761.00 "," 7,603.00 ", '08023100 ," 3,104.00 "," 3,083.00 ", 21.00 , -   , '39021000 ," 4,834.00 ", '48101990 , FALSE 
'0310838320,16/09/20,30/09/21,019/2015,RAMA EXPORTS," 2,67,506.08 "," 1,45,514.00 "," 1,84,749.00 ", '17019990 ," 1,272.00 ", '33011200 ," 13,375.00 "," 1,681.00 "," 11,694.00 "," 12,730.00 ", '08023100 ," 5,350.00 "," 5,330.00 ", 20.00 , -   , '39021000 ," 8,150.00 ", '48101990 , FALSE 
'0310838322,16/09/20,30/09/21,019/2015,RANI INTERNATIO," 1,34,399.81 "," 1,18,689.00 "," 1,02,675.00 ", '17019990 , -   , '33011200 ," 6,719.00 "," 5,383.00 "," 1,336.00 "," 7,221.00 ", '08023100 ," 2,687.00 "," 2,670.00 ", 17.00 , -   , '39021000 ," 4,534.00 ", '48101990 , FALSE 
'0310838176,09/09/20,30/09/21,019/2015,RANI INTERNATIO," 1,23,146.64 "," 1,08,129.00 "," 98,949.00 ", '17019990 , -   , '33011200 ," 6,157.00 "," 5,188.00 ", 969.00 ," 7,020.00 ", '08023100 ," 2,462.00 "," 2,450.00 ", 12.00 , -   , '39021000 ," 4,370.00 ", '48101990 , FALSE 
'0310838039,01/09/20,30/09/21,019/2015,RANI INTERNATIO," 1,51,262.86 "," 1,29,927.00 "," 1,13,495.00 ", '17019990 , -   , '33011200 ," 7,563.00 "," 5,950.00 "," 1,613.00 "," 7,952.00 ", '08023100 ," 3,025.00 "," 3,010.00 ", 15.00 , -   , '39021000 ," 5,012.00 ", '48101990 , FALSE 
'0310838036,01/09/20,30/09/21,019/2015,RANI INTERNATIO," 1,64,098.82 "," 1,48,489.00 "," 1,17,466.00 ", '17019990 , 609.00 , '33011200 ," 8,204.00 "," 2,323.00 "," 5,881.00 "," 8,153.00 ", '08023100 ," 3,281.00 "," 3,270.00 ", 11.00 , -   , '39021000 ," 5,188.00 ", '48101990 , FALSE 
'0310838034,01/09/20,30/09/21,019/2015,RAMA EXPORTS," 1,90,347.89 "," 1,67,782.00 "," 1,38,281.00 ", '17019990 , -   , '33011200 ," 9,517.00 "," 7,253.00 "," 2,264.00 "," 9,628.00 ", '08023100 ," 3,806.00 "," 3,790.00 ", 16.00 , -   , '39021000 ," 6,107.00 ", '48101990 , TRUE 
'0310838414,22/09/20,30/09/21,019/2015,AASHIRWAD PRODU," 1,99,948.48 "," 1,82,795.00 "," 1,18,014.00 ", '17010000 , 983.00 , '33021010 ," 9,997.00 ", -   ," 9,997.00 "," 7,875.00 ", '08020000 ," 3,998.00 "," 3,787.00 ", 211.00 , -   , '39020000 ,,, FALSE 
'0310838697,05/10/20,31/10/21,019/2015,RAMA EXPORTS," 1,71,726.60 "," 1,55,995.00 "," 1,29,638.00 ", '17019990 ," 1,080.00 ", '33021010 ," 8,586.00 ", -   ," 8,586.00 "," 9,121.00 ", '08023100 ," 3,434.00 "," 3,413.00 ", 21.00 , -   , '39012000 ," 18,666.00 ", '48101990 , FALSE 
