description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
,,,2746,238334622.790,20164550.78,"0610012279, 0610017138, 0610017359, 0310721357, 0910066523",,
refined cane sugar,17019990,E1,455,64067258.670,69154389.79,"0310827444, 0310829056, 0310829058, 0310829894, 1310049493",SUGAR,
WHEAT FLOUR,11010000,E5,381,201940527.730,116465188.00,"3010101574, 0910055397, 3010101179, 0910061781, 0910060902",WHEAT FLOUR,
liquid glucose,17022010,E1,333,19276212.830,113869.00,"0310817639, 0310827444, 0310829058, 0310829056, 0310831630",LIQUID GLUCOSE,
refined cane sugar,17019990,E5,327,27313067.560,0.00,"0310831990, 0310831992, 0310833729, 0310835121, 0310834612",SUGAR,
air filter,84213100,C969,301,65028.000,304694287.98,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",AIR FILTER,
fuel filter,84212300,C969,300,65281.000,91133.03,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",FUEL FILTER,
seat assembly,94012000,C969,300,65253.000,148780.14,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",SEAT ASSEMBLY,
radiator,87089100,C969,299,64202.000,111474.06,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",RADIATOR,
hydraulic cylinder,87089900,C969,293,61487.000,0.00,"1210008500, 1210009435, 1210009417, 1210008490, 1210008324",HYDRAULIC CYLINDER,
turbo charger,84148030,C969,283,60039.000,119580.36,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",TURBO CHARGER,
hydraulic valves,87089900,C969,283,59023.000,0.00,"1210008500, 1210009435, 1210009417, 1210008490, 1210008372",HYDRAULIC VALVES,
Internal Combustion Engine Complete,84082020,C969,278,57315.000,1546215.14,"3010079436, 3010084189, 1210009154, 1210008500, 1210009435",INTERNAL COMBUSTION ENGINE,
front axle (2 wheel drive and/or 4 wheel drive) complete and/or parts/ accessories,87085000,C969,271,58431.000,7409652.29,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",FRONT AXLE,
oil pump,84138190,C969,271,51180.000,0.00,"1210008500, 1210008324, 1210008390, 1210008372, 1210008456",OIL PUMP,
starter motor,85114000,C969,262,2910485.000,13210.00,"1210009154, 1210008500, 1210009417, 1210009435, 1210008490",STARTER MOTOR,
alternator,85115000,C969,238,2898061.000,0.00,"3011003101, 3011003417, 3011003509, 3011003538, 3011003602",ALTERNATOR,
wiring hanrness,85443000,C969,237,2739379.200,0.00,"3011003101, 3011003417, 3011003509, 3011003538, 3011003602",WIRING HANRNESS,
hydraulic pump (including auxiliary hydraulic pump),84138190,C969,225,3439802.000,13207.00,"1210008500, 1210009435, 1210009417, 1210008490, 1210008324",HYDRAULIC PUMP,
Leavening agent - Yeast,21021020,E5,209,255475.790,0.00,"0310833591, 0310833589, 0310839549, 0311004131, 0311002421",LEAVENING AGENT,
,,E5,209,9718840.160,3043921.64,"0311023101, 0311025201, 0311026206, 0311026633, 0311029138",,
front wheelrim,87087000,C969,198,26267.000,0.00,"3011003101, 3011003417, 3011003509, 3011003538, 3011003602",FRONT WHEELRIM,
rear wheelrim,87087000,C969,197,26110.000,0.00,"3011003101, 3011003417, 3011003509, 3011003538, 3011003602",REAR WHEELRIM,
liquid glucose,17023010,E1,192,11991835.930,4.00,"0310746675, 0310742675, 0910061510, 0910058201, 0910051255",LIQUID GLUCOSE,
clutch assembly (including split/ torque type),87089300,C969,190,34705.000,361174.43,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",CLUTCH ASSEMBLY,
coco powder,18050000,E5,188,1030344.150,6322.25,"0310737818, 0310825085, 0810145922, 0310831992, 0310832269",FRUIT/COCOA - E5,
Automotive Battery-8507,85071000,C969,187,23591.000,0.00,"3011003101, 3011003417, 3011003509, 3011003538, 3011003602",AUTOMOTIVE BATTERY,
FOOD COLOURS (SUNSET YELLOW),32041981,E1,160,3405.180,0.00,"0311030617, 0311031011, 0311031455, 0311031454, 0311031473",FOOD COLOUR,
Wheat Flour (ITC (HS) Code: 11010000),11010000,E5,149,44040743.750,19092595.20,"0310832269, 0310832494, 0310837902, 0310838970, 0311002421",WHEAT FLOUR,
Dietary Fibre (HS Code 0802),08029900,E5,146,2131215.270,0.00,"0311018298, 0311018297, 0311018482, 0311020008, 0311020049",DIETARY FIBRE,
cane sugar,17019990,E5,134,19855591.310,43990.00,"0510336995, 0910057492, 0310740886, 0310721821, 0310729712",SUGAR,
relevant food colour caramel,17029040,E5,134,9859.250,682.82,"0310825085, 0310832269, 0310831992, 0310831990, 0310832494",FOOD COLOUR,
EMULSIFIER - STARCHES,11081100,E1,133,41500.330,1.00,"0310817639, 0310827444, 0310829058, 0310829056, 0310829894","EMULSIFIER - E1, STARCH 1108, STARCH 3505",
fruit / coco powder,18050000,E5,131,810968.730,205900.00,"0310736178, 0310702560, 0310740542, 3010101574, 0910052935",FRUIT/COCOA - E5,
milk & milk products milk solids,35022000,E5,129,4894342.230,0.04,"0310825085, 0310830441, 0310831990, 0310832269, 0310831992",,
Food Flavours - Natural Flavours (Edible Grade),09083110,E1,128,34214.890,0.00,"0311020067, 0311020066, 0311031011, 0311031455, 0311031454",FOOD FLAVOUR - E1,
emulsifier,15200000,E5,114,84037.690,0.00,"0310825085, 0310831992, 0310832494, 0310831990, 0310832269",EMULSIFIER - E5,
Food colour  :- caramel,17029040,E5,112,4111.520,0.00,"0311017843, 0311017841, 0311018298, 0311018297, 0311018316",FOOD COLOUR,
Fats RBD Palmolein Oil,15119020,E5,111,14831499.390,0.00,"0310825085, 0310832269, 0310831992, 0310831990, 0310832494",RBD PALMOLEIN OIL,
cane sugar,17019990,E1,103,32064744.690,14931377.31,"0310746675, 0310739005, 0310782452, 0310791395, 0310793650",SUGAR,
,,E1,102,2757041.810,554695.70,"0310733546, 0310728863, 0310730386, 0310717188, 0310726886",,
relevant food colour caramel,17029040,E1,100,2992.260,1.00,"0310817639, 0310827444, 0310829056, 0310829058, 0310829894",FOOD COLOUR,
ALLOY STEEL RODS /BAR OF CARBON CONTENT LESS THAN 2 PERCENT HS CODE 7228,72281090,C969,92,15572832.790,0.00,"3011004779, 3011004780, 3011004781, 3011004872, 3011004871",ALLOY STEEL,
Anti oxidant Butyl Hydroxy Quinone (TBHQ),29181400,E5,90,14504.470,0.00,"3010095934, 3010095933, 3010104360, 3010104294, 3010104292",ANTI OXIDANT,
Citric acid monohydrate Food Grade 99.5% min,29181400,E1,88,727071.680,0.00,"0311030331, 0311030617, 0311031011, 0311031454, 0311031455",CITRIC ACID / TARTARIC ACID - E1,
ALLOY STEEL RODS OF CARBON CONTENT LESS THAN 2 PERCENT HS CODE 7228,72281090,C969,86,10153183.100,0.00,"3011003101, 3011003417, 3011003509, 3011003538, 3011003602",ALLOY STEEL,
Other Confectionery ingredients - Fruit & Nuts Products (HS CODE 0802),08029900,E1,84,930808.730,0.00,"0311020066, 0311020067, 0311020420, 0311020706, 0311021083",OTHER CONFECTIONERY INGREDIENTS - E1,
"Packing Material -Polypropylene Film Grade, Aluminium Foil ( HS Code 7607)",39021000,E1,83,1496662.470,0.00,"0311040600, 0311040958, 0311040983, 0311041020, 0311041018","ALUMINIUM FOIL, PP",
Relevant Food Grade :-Tartaric Acid,29181200,E1,81,1154190.010,0.00,"0310817639, 0310827444, 0310829056, 0310829058, 0310831630",CITRIC ACID / TARTARIC ACID - E1,
Brake Assembly (Prime and / or Secondary) (HS Code - 8708),87083000,C969,80,14298.000,0.00,"3011003509, 3011003820, 3011003915, 3011003916, 3011004226",BRAKE ASSEMBLY,
Brake Assembly (Prime) (HS Code - 8708),87083000,C969,79,11951.000,0.00,"3011003417, 3011003509, 3011003538, 3011003602, 3011003719",BRAKE ASSEMBLY,
Emulsifier (GMS),29157030,E5,78,48057.210,33.18,"0310835514, 0310827361, 0311004132, 0311004131, 0311004362",EMULSIFIER - E5,
starch,35051090,E5,77,236096.030,0.00,"0910052935, 3010105333, 3010105334, 3010095934, 0311002421",STARCH 3505,
Food colour (Caramel),17029040,E5,77,4304.600,0.00,"0311020050, 0311020607, 0311020705, 0311020834, 0311020815",FOOD COLOUR,
automotive battery,85071000,C969,75,28382.000,133015.20,"3010079436, 3010081118, 3010082070, 3010083836, 3010080160",AUTOMOTIVE BATTERY,
PACKING MATERIAL :- PP,39021000,E5,73,9038143.080,0.00,"0310832269, 0310832494, 0310831992, 0310831990, 0310829658",PP,
Food colour  :- caramel,17029040,E1,70,1533.060,0.00,"0311018170, 0311018858, 5611001404, 0311020420, 0311020615",FOOD COLOUR,
"HOT ROLLED STEEL (SHEETS/WIDE COILS) -7208,7209",72089000,C969,69,4648953.010,0.00,"3011003837, 3011003915, 3011003916, 3011004087, 3011004359",HOT ROLLED STEEL,
RELEVANT FLAVOUR IMPROVERS - FRUIT FLAVOUR,08023100,E5,66,902393.790,0.02,"0310838864, 0310838915, 0310838970, 0311004131, 0311002421","FOOD FLAVOUR - E5, JUICE - E5",
anti oxidant (citric acid),29181400,E5,65,13220.570,2.78,"0310835514, 3010093121, 0310827361, 0311004131, 0311004132",ANTI OXIDANT,
Food Colours:-Caramel,17029040,E1,65,2558.510,0.00,"0311028488, 0311039887, 0311040958, 0311041018, 0311041019",FOOD COLOUR,
PACKING MATERIAL :- POLYPROPYLENE FILM GRADE,39021000,E5,60,996819.510,0.00,"0310834824, 0311018794, 0311020319, 0311020939, 0311021100",PP,
MODIFIERS NAMELY (A) MAGNESIUM OXIDE (B) SODA ASH (C) SODIUM NITRATE (D) POTASH (E) POTASSIUM NITRATE,28200000,A3627,59,22211339.730,0.00,"0310545763, 0310587900, 0310611208, 0310611767, 0310612906","SODA ASH, SODIUM NITRATE",
starch,11081200,E5,59,409665.270,0.00,"0510336995, 0910055369, 0910055370, 3010095933, 3010104360","STARCH 1108, STARCH 3505",
milk & milk products (whey powder),04041020,E5,59,2031679.930,0.00,"0910057492, 0910061491, 0910058236, 0910061781, 0910061782",SWP,
INTERMEDIATES NAMELY (A) ALUMINIUM OXIDE (B) ZINC OXIDE (C) ZIRCONIUM OXIDE,28182000,A3627,58,1856846.930,0.00,"0310587900, 0310611767, 0310612906, 0310627840, 0310642082","ALUMINIUM OXIDE, ZINC OXIDE, ZIRCONIUM OXIDE",
starch,35051000,E5,57,263881.210,1044.67,"0310736178, 0310702560, 0310740542, 0310738501, 0310709650",STARCH 3505,
Packing Material: PP/ Aluminium foil (HSN 7607),39021000,E132,57,1694473.220,0.00,"5211006995, 5211007496, 5211007631, 5211007993, 0311035517","ALUMINIUM FOIL, PP",
Anti Oxidant -Citric Acid - Monohydrate Food Grade 99.5% min,29181400,E5,56,1808.250,0.00,"0311021412, 0311021421, 0311026199, 0311027210, 0311027872",ANTI OXIDANT,
dietary fibre,23023000,E5,55,1293855.590,0.00,"3010095933, 3010095361, 3010091937, 3010093606, 3010095665",DIETARY FIBRE,
Relevant Food Grade Flavours,09083110,E1,55,13430.820,0.00,"0311004194, 0311004904, 0311004899, 0311005034, 0311005544",FOOD FLAVOUR - E1,
Dietary Fibre (HS Code 0802),08023100,E5,55,516882.570,0.00,"0311004252, 0311002421, 0311004313, 0311004329, 0311004330",DIETARY FIBRE,
Dietary Fibre (HSN Code-0802),08029900,E5,54,397381.820,0.00,"0311021572, 0311024780, 0311025300, 0311027210, 0311028539",DIETARY FIBRE,
WHEAT FLOUR,11000000,E5,53,17114341.490,221310.19,"0310687969, 0310727816, 0310732431, 0310694983, 0310736178",WHEAT FLOUR,
,,C969,53,1551403.660,859396.65,"3010105522, 3011003417, 3011005036, 3011005104, 3011005583",,
Relevant Essential Oils:- Orange Oil (HS Code-3301),33011200,E1,53,64121.140,0.00,"0311004904, 0311004899, 0311006172, 0311006856, 0311007010",ESSENTIAL OIL,
Food Grade:-Tartaric Acid,29181200,E1,53,432022.140,0.00,"0311028488, 0311039887, 0311040958, 0311041308, 0311041306",CITRIC ACID / TARTARIC ACID - E1,
OTHER SPECIAL ADDITIVES NAMELY (A) CLAY (B) SELENIUM (C) NUCLEATING AGENTS (TITANIUM DIOXIDE) (D) BARIUM CARBONATE,25309000,A3627,52,6740941.450,0.00,"0310545763, 0310587900, 0310611208, 0310611767, 0310627840",TITANIUM DIOXIDE,
Packing Material -Polypropylene Film Grade,39021000,E5,51,852645.540,0.00,"0311021412, 0311029303, 0311035047, 3111003827, 0311036758",PP,
LIQUID GLUCOSE SUBJECT TO ACTUAL USER CONDITION,17023010,E1,50,1838152.490,162634.20,"0310835112, 0310828013, 0310828053, 0310828054, 0310830033",LIQUID GLUCOSE,
PACKING MATERIAL (B) WOODEN SHEET / PALLETS,44152000,A3627,50,1716859.560,0.00,"0310611767, 0310612906, 0310627840, 0310642082, 0310642078",PP,
"Packing Material :- Polypropylene Film Grade , Aluminum foil CTH 76071190, Paper & Paper Board, GSM (200 To 350)(CTH 48101390)",39021000,E5,50,535095.310,0.00,"0510336995, 0311004780, 0311005275, 0311005312, 0311005442","ALUMINIUM FOIL, PAPER BOARD, PP",
relevant fruit (juice/pulp/puree),20090000,E1,50,4815553.210,271749.17,"0310746675, 0310739005, 0310782452, 0310791395, 0310793650",FRUIT JUICE - E1,
Anti oxidant (Citric Acid) Food Grade Monohydrate 99.5% minimum,29181400,E5,50,4093.420,0.00,"0311021669, 0311022337, 5211004590, 0311024104, 5211005013",ANTI OXIDANT,
CITRIC ACID - MONOHYDRATE FOOD GRADE 99.5% MIN,29181400,E1,50,174216.450,0.00,"0311030640, 0311030805, 0311031457, 0311031456, 0311031512",CITRIC ACID / TARTARIC ACID - E1,
Essential Oils maxmium percentage of 51% and reflective index of 1% and above but not more than 2% (HS Code 3301),33011200,E1,50,44994.840,0.00,"0311033179, 0311039992, 0311040045, 0311040600, 0311040983",ESSENTIAL OIL,
"Packing Material :- Polypropylene Film Grade , Aluminum foil CTH 76071190, Paper & Paper Board, GSM (200 To 350)(CTH 48101390)",39021000,E1,49,656998.640,0.00,"0311006172, 0311006856, 0311007010, 0311008153, 0311008454","ALUMINIUM FOIL, PAPER BOARD, PP",
Food Grade - Citric acid monohydrate Food Grade 99.5% min,29181400,E1,49,308874.010,0.00,"5611002535, 0311030534, 0311031107, 0311033121, 0311033179",CITRIC ACID / TARTARIC ACID - E1,
paper & paper board (100 to 300 gsm),48101990,E1,48,217284.260,62245.06,"0310835112, 0310828013, 0310830036, 0310830033, 0310831831",PAPER BOARD,
Anti Oxidant - Citric Acid Monohydrate Food Grade 99.5% min,29181400,E5,48,1439.140,0.00,"0311020673, 0311020799, 0311021037, 0311021576, 0311021669",ANTI OXIDANT,
Binders/Thickners/Starch / Xanthan Gum,13023990,E1,48,11551.400,0.00,"0311031011, 0311031454, 0311031455, 0311031473, 0311031471",STARCH 3505,
"Paper & Paper Board, PP, Aluminum Foil ( HS Code 7607)",39021000,E1,48,707221.170,0.00,"0311031455, 0311031454, 0311031471, 0311031473, 0311031516","ALUMINIUM FOIL, PAPER BOARD, PP",
COCOA POWDER,18050000,E5,47,480647.680,0.00,"0311021576, 0311021572, 0311021669, 0311021411, 0311022148",FRUIT/COCOA - E5,
hydrostatic unit/ valves for hydraulic transmission,87084000,C969,47,6476.000,0.00,"3011004359, 3011004358, 3011004502, 3011004500, 3011004633",HYDROSTATIC TRANSMISSION,
hydrostatic unit/ valves for hydraulic transmission,84139190,C969,46,7260.000,0.00,"3011000691, 3011000733, 3011000849, 3011000839, 3011000890",HYDROSTATIC TRANSMISSION,
HOT ROLLED STEEL (SHEETS/WIDE COILS) -7208 & 7209,72089000,C969,46,3668982.220,0.00,"3011004087, 3011004359, 3011004502, 3011004500, 3011004758",HOT ROLLED STEEL,
"Food Additives as approved by FSSAI-Tocopherol (HSN 2936), Lecithin (HSN 2923), BHA (HSN 2909), TBHQ (HSN 2907), Methyl Cellulose (HSN 3912), Carboxy Methyl Cellulose (HSN 3912), Edible Strach (HSN 1108) Gellan Gum (HSN 3913).",13023100,E132,45,67840.650,0.00,"5211005135, 5211006995, 0311030280, 5211007496, 5211007993","RELEVANT ADDITIVES DESCRIPTION, STARCH 1108",
Food Colour - Caramel,17029040,E5,45,1348.200,0.00,"3111004302, 0311032718, 0311032829, 0311032964, 0311033709",FOOD COLOUR,
packing material pp granules,39021000,E1,44,368142.330,629205.82,"0310835112, 0310828013, 0310830036, 0310830033, 0310831831",PP,
bopp granules (12 to 15 gsm),39202090,E1,44,223736.540,62145.06,"0310835112, 0310828013, 0310830036, 0310830033, 0310831831","BOPP, PP",
Anti oxidant Butyl Hydroxy Quinone (TBHQ),29070000,E5,44,6297.300,0.00,"0310825085, 0310831990, 0310832494, 0310831992, 0310832269",ANTI OXIDANT,
Fruit / Coco Powder - Fruit,08105000,E5,44,171278.940,0.00,"0311020705, 0311020834, 0311020815, 0311020799, 0311020881",FRUIT/COCOA - E5,
