,,,,,,,,, 0.48 , 0.48 , 0.48 ,,, 0.19 , 0.19 , 0.19 ,,, 0.18 , 0.18 , 0.18 ,,, 0.00 , 0.00 , 0.00 ,,, 0.02 , 0.02 , 0.02 ,,, 0.01 , 0.01 , 0.01 ,,, 0.03 , 0.03 , 0.03 ,,, 0.07 , 0.07 , 0.07 ,,, 0.01 , 0.01 , 0.01 ,,,,,,, 1.00 
sr_no,dfia,dfia_dt,dfia_exp,exporter, balance_cif ,,,, wheat_total , wheat_new , wheat_old , wheat_debited_quantity , wheat_bal , sugar_total , sugar_new , sugar_old , sugar_debited_quantity , sugar_bal , palmolein_total , palmolein_new , palmolein_old , palmolein_debited_quantity , palmolein_bal , leavening_total , leavening_new , leavening_old , leavening_debited_quantity , leavening_bal , flavour_total , flavour_new , flavour_old , flavour_debited_quantity , flavour_bal , starch_total , starch_new , starch_old , starch_debited_quantity , starch_bal , dietary_total , dietary_new , dietary_old , dietary_debited_quantity , dietary_bal , milk_total , milk_new , milk_old , milk_debited_quantity , milk_bal , fruit_total , fruit_new , fruit_old , fruit_debited_quantity , fruit_bal , pp_total , pp_new , pp_old , pp_debited_quantity , pp_bal 
1,310832269,17/10/19,31/10/20,PARLE PRODUCTS PVT. , -   ,,,," 45,82,901.85 "," 10,87,345.85 "," 34,95,556.00 "," 35,94,556.00 "," 9,88,345.85 "," 18,14,065.32 "," 4,30,396.32 "," 13,83,669.00 "," 18,14,065.00 ", 0.32 ," 17,18,588.19 "," 4,07,755.19 "," 13,10,833.00 "," 17,18,588.00 ", 0.19 ," 38,190.85 "," 9,056.85 "," 29,134.00 "," 29,130.00 "," 9,060.85 "," 1,52,763.39 "," 36,298.39 "," 1,16,465.00 "," 1,16,427.00 "," 36,336.39 "," 47,738.56 "," 11,320.56 "," 36,418.00 "," 36,343.00 "," 11,395.56 "," 2,86,431.36 "," 67,174.36 "," 2,19,257.00 "," 2,19,256.00 "," 67,175.36 "," 6,68,339.85 "," 1,58,486.85 "," 5,09,853.00 "," 6,68,340.00 ", (0.15)," 85,929.41 "," 20,377.41 "," 65,552.00 "," 65,550.00 "," 20,379.41 "," 10,96,720.40 "," 2,59,296.40 "," 8,37,424.00 "," 9,86,784.00 "," 1,09,936.40 "
,,,,,," 95,47,711.00 "," 22,64,088.00 "," 72,83,623.00 "," 45,82,901.28 "," 10,86,762.24 "," 34,96,139.04 ",,," 18,14,065.09 "," 4,30,176.72 "," 13,83,888.37 ",,," 17,18,587.98 "," 4,07,535.84 "," 13,11,052.14 ",,," 38,190.84 "," 9,056.35 "," 29,134.49 ",,," 1,52,763.38 "," 36,225.41 "," 1,16,537.97 ",,," 47,738.56 "," 11,320.44 "," 36,418.12 ",,," 2,86,431.33 "," 67,922.64 "," 2,18,508.69 ",,," 6,68,339.77 "," 1,58,486.16 "," 5,09,853.61 ",,," 85,929.40 "," 20,376.79 "," 65,552.61 ",,,,,,,
2,310832494,30/10/19,31/10/20,PARLE PRODUCTS PVT. ," 4,44,358.00 ",,,," 20,64,135.15 "," 10,62,394.15 "," 10,01,741.00 "," 10,01,741.00 "," 10,62,394.15 "," 8,17,053.49 "," 4,20,531.49 "," 3,96,522.00 "," 8,17,053.00 ", 0.49 ," 7,74,050.68 "," 3,98,398.68 "," 3,75,652.00 "," 7,74,050.00 ", 0.68 ," 17,194.03 "," 8,847.03 "," 8,347.00 "," 8,347.00 "," 8,847.03 "," 68,804.50 "," 35,413.50 "," 33,391.00 "," 33,390.00 "," 35,414.50 "," 21,501.12 "," 11,067.12 "," 10,434.00 "," 10,434.00 "," 11,067.12 "," 1,29,008.45 "," 66,400.45 "," 62,608.00 "," 62,608.00 "," 66,400.45 "," 3,01,019.71 "," 1,54,932.71 "," 1,46,087.00 "," 3,00,647.00 ", 372.71 ," 38,702.53 "," 19,920.53 "," 18,782.00 "," 18,780.00 "," 19,922.53 "," 5,11,418.50 "," 5,11,418.50 ", -   ," 5,11,418.00 ", 0.50 
,,,,,," 43,00,236.00 "," 22,13,320.00 "," 20,86,916.00 "," 20,64,113.28 "," 10,62,393.60 "," 10,01,719.68 ",,," 8,17,044.84 "," 4,20,530.80 "," 3,96,514.04 ",,," 7,74,042.48 "," 3,98,397.60 "," 3,75,644.88 ",,," 17,200.94 "," 8,853.28 "," 8,347.66 ",,," 68,803.78 "," 35,413.12 "," 33,390.66 ",,," 21,501.18 "," 11,066.60 "," 10,434.58 ",,," 1,29,007.08 "," 66,399.60 "," 62,607.48 ",,," 3,01,016.52 "," 1,54,932.40 "," 1,46,084.12 ",,," 38,702.12 "," 19,919.88 "," 18,782.24 ",,,,,,,
3,310832983,25/11/19,30/11/20,RANI INTERNATIONAL," 17,654.00 ",,,," 5,56,870.58 ", 79.58 ," 5,56,791.00 "," 2,20,710.00 "," 3,36,160.58 "," 2,20,427.94 ", 31.94 ," 2,20,396.00 "," 2,20,427.00 ", 0.94 ," 2,09,006.47 ", 210.47 ," 2,08,796.00 "," 2,09,006.00 ", 0.47 ," 4,640.58 ", 1.58 ," 4,639.00 ", -   ," 4,640.58 "," 18,559.71 ", 0.71 ," 18,559.00 "," 18,556.00 ", 3.71 ," 5,800.74 ", 1.73 ," 5,799.00 "," 5,799.00 ", 1.73 ," 34,799.46 ", 0.46 ," 34,799.00 "," 34,798.00 ", 1.46 ," 81,198.74 ", 0.74 ," 81,198.00 "," 81,198.00 ", 0.74 ," 10,439.83 ", 0.83 ," 10,439.00 "," 10,439.00 ", 0.83 ," 53,230.58 "," (27,967.42)"," 81,198.00 ", -   ," 53,230.58 "
,,,,,," 11,60,147.00 ", 165.00 ," 11,59,982.00 "," 5,56,870.56 ", 79.20 ," 5,56,791.36 ",,," 2,20,427.93 ", 31.35 ," 2,20,396.58 ",,," 2,08,826.46 ", 29.70 ," 2,08,796.76 ",,," 4,640.59 ", 0.66 ," 4,639.93 ",,," 18,562.35 ", 2.64 ," 18,559.71 ",,," 5,800.74 ", 0.83 ," 5,799.91 ",,," 34,804.41 ", 4.95 ," 34,799.46 ",,," 81,210.29 ", 11.55 ," 81,198.74 ",,," 10,441.32 ", 1.49 ," 10,439.84 ",,,,,,,
4,310832880,19/11/19,30/11/20,RANI INTERNATIONAL, 4.00 ,,,," 3,44,119.10 ", 174.10 ," 3,43,945.00 "," 1,34,302.00 "," 2,09,817.10 "," 1,36,213.81 ", 68.81 ," 1,36,145.00 "," 1,36,213.00 ", 0.81 ," 1,29,044.66 ", 65.66 ," 1,28,979.00 "," 1,29,044.00 ", 0.66 ," 2,867.66 ", 1.66 ," 2,866.00 "," 2,761.00 ", 106.66 ," 11,464.82 ", 0.82 ," 11,464.00 "," 11,464.00 ", 0.82 ," 3,584.57 ", 2.57 ," 3,582.00 "," 3,582.00 ", 2.57 ," 21,496.64 ", 0.64 ," 21,496.00 "," 21,496.00 ", 0.64 ," 50,158.84 ", 0.84 ," 50,158.00 "," 50,158.00 ", 0.84 ," 6,448.99 ", 0.99 ," 6,448.00 "," 6,445.00 ", 3.99 ," 32,099.77 "," (18,058.23)"," 50,158.00 ", -   ," 32,099.77 "
,,,,,," 7,16,914.00 ", 360.00 ," 7,16,554.00 "," 3,44,118.72 ", 172.80 ," 3,43,945.92 ",,," 1,36,213.66 ", 68.40 ," 1,36,145.26 ",,," 1,29,044.52 ", 64.80 ," 1,28,979.72 ",,," 2,867.66 ", 1.44 ," 2,866.22 ",,," 11,470.62 ", 5.76 ," 11,464.86 ",,," 3,584.57 ", 1.80 ," 3,582.77 ",,," 21,507.42 ", 10.80 ," 21,496.62 ",,," 50,183.98 ", 25.20 ," 50,158.78 ",,," 6,452.23 ", 3.24 ," 6,448.99 ",,,,,,,
5,310832985,25/11/19,30/11/20,RANI INTERNATIONAL," 4,407.00 ",,,," 5,17,506.72 ", 126.72 ," 5,17,380.00 "," 2,37,845.00 "," 2,79,661.72 "," 2,04,846.41 ", 50.40 ," 2,04,796.00 "," 2,04,846.00 ", 0.40 ," 1,94,065.02 ", 48.02 ," 1,94,017.00 "," 1,94,065.00 ", 0.02 ," 4,312.55 ", 1.55 ," 4,311.00 "," 3,162.00 "," 1,150.55 "," 17,246.02 ", 0.02 ," 17,246.00 "," 17,244.00 ", 2.02 ," 5,390.69 ", 1.69 ," 5,389.00 "," 5,389.00 ", 1.69 ," 32,336.29 ", 0.29 ," 32,336.00 "," 32,335.00 ", 1.29 ," 75,451.36 ", 0.36 ," 75,451.00 "," 75,451.00 ", 0.36 ," 9,700.88 ", 0.88 ," 9,700.00 "," 9,698.00 ", 2.88 ," 72,292.21 "," (3,158.79)"," 75,451.00 ", -   ," 72,292.21 "
