dfia,dfia_dt,dfia_exp,exporter, balance_cif , sugar_total , sugar_new , sugar_old , sugar_debited_quantity , sugar_bal , juice_total , juice_new , juice_old , juice_debited_quantity , juice_bal , tartaric_total , tartaric_new , tartaric_old , tartaric_debited_quantity , tartaric_bal , essential_total , essential_new , essential_old , essential_debited_quantity , essential_bal , oci_total , oci_new , oci_old , oci_debited_quantity , oci_bal , pp_total , pp_new , pp_old , pp_debited_quantity , pp_bal 
310831630,19/09/19,30/09/20,VIVA FOOD PRODUCTS," 5,86,331.00 "," 25,20,971.34 "," 11,25,389.34 "," 13,95,582.00 "," 25,20,971.00 ", 0.34 ," 6,30,242.85 "," 2,81,347.85 "," 3,48,895.00 "," 3,48,895.00 "," 2,81,347.85 "," 1,26,048.57 "," 56,269.57 "," 69,779.00 "," 69,779.00 "," 56,269.57 "," 21,008.09 "," 5,728.09 "," 15,280.00 "," 15,280.00 "," 5,728.09 "," 2,10,080.94 "," 93,782.38 "," 1,16,298.56 "," 1,16,295.00 "," 93,785.94 "," 1,36,784.54 "," 70,224.54 "," 66,560.00 "," 1,36,782.00 ", 2.54 
310832464,25/10/19,25/10/20,RANI INTERNATIONAL, -   ," 4,69,494.91 "," 2,160.91 "," 4,67,334.00 "," 4,69,494.00 ", 0.91 ," 1,16,833.73 ", 0.73 ," 1,16,833.00 "," 1,16,833.00 ", 0.73 ," 23,474.75 ", 108.74 ," 23,366.00 "," 21,061.00 "," 2,413.74 "," 3,912.46 ", 18.46 ," 3,894.00 "," 3,894.00 ", 18.46 ," 38,944.58 ", 0.58 ," 38,944.00 "," 38,902.00 ", 42.58 ," 35,474.30 "," 35,474.30 ", -   ," 35,473.00 ", 1.30 
310832398,23/10/19,31/10/20,RANI INTERNATIONAL," 1,36,339.00 "," 5,95,243.00 "," 2,160.00 "," 5,93,083.00 "," 5,95,243.00 ", -   ," 1,48,270.80 ", 0.80 ," 1,48,270.00 "," 1,48,270.00 ", 0.80 ," 29,762.16 ", 108.16 ," 29,654.00 "," 29,654.00 ", 108.16 ," 4,960.36 ", 18.36 ," 4,942.00 "," 4,942.00 ", 18.36 ," 49,423.60 ", 0.60 ," 49,423.00 "," 49,297.00 ", 126.60 ," 34,663.12 "," 34,663.12 ", -   ," 34,661.00 ", 2.12 
310832433,24/10/19,31/10/20,RANI INTERNATIONAL," 1,30,059.00 "," 5,22,489.12 "," 2,160.12 "," 5,20,329.00 "," 5,22,489.00 ", 0.12 ," 1,30,082.28 ", 0.28 ," 1,30,082.00 "," 1,30,082.00 ", 0.28 ," 26,124.46 ", 108.46 ," 26,016.00 "," 26,016.00 ", 108.46 ," 4,354.08 ", 18.08 ," 4,336.00 "," 4,336.00 ", 18.08 ," 43,360.76 ", 0.76 ," 43,360.00 "," 43,318.00 ", 42.76 ," 47,609.61 "," 47,609.61 ", -   ," 47,609.00 ", 0.61 
310832432,24/10/19,31/10/20,RANI INTERNATIONAL," 98,689.00 "," 5,42,322.86 "," 2,160.86 "," 5,40,162.00 "," 5,42,322.00 ", 0.86 ," 1,35,040.72 ", 0.72 ," 1,35,040.00 "," 1,35,040.00 ", 0.72 ," 27,116.14 ", 108.14 ," 27,008.00 "," 27,008.00 ", 108.14 ," 4,519.36 ", 18.36 ," 4,501.00 "," 4,501.00 ", 18.36 ," 45,013.57 ", 0.57 ," 45,013.00 "," 44,929.00 ", 84.57 ," 54,912.87 "," 54,912.87 ", -   ," 54,912.00 ", 0.87 
310832430,24/10/19,31/10/20,RANI INTERNATIONAL," 1,85,022.00 "," 5,75,822.10 "," 2,521.10 "," 5,73,301.00 "," 5,75,822.00 ", 0.10 ," 1,43,325.53 ", 0.52 ," 1,43,325.00 "," 1,43,325.00 ", 0.52 ," 28,791.11 ", 126.10 ," 28,665.00 "," 28,665.00 ", 126.10 ," 4,798.52 ", 21.52 ," 4,777.00 "," 4,777.00 ", 21.52 ," 47,775.18 ", 0.18 ," 47,775.00 "," 47,772.00 ", 3.18 ," 47,024.73 "," 47,024.73 ", -   ," 47,023.00 ", 1.72 
310833322,10/12/19,31/12/20,RAMA EXPORTS," 98,454.00 "," 5,59,158.00 ", 168.00 ," 5,58,990.00 "," 5,59,158.00 ", -   ," 1,39,747.50 ", 0.50 ," 1,39,747.00 "," 1,39,747.00 ", 0.50 ," 27,957.90 ", 8.90 ," 27,949.00 "," 27,945.00 ", 12.90 ," 4,659.65 ", 1.65 ," 4,658.00 "," 4,658.00 ", 1.65 ," 46,582.50 ", 0.50 ," 46,582.00 "," 46,341.00 ", 241.50 ," 94,057.05 "," 94,057.05 ", -   ," 94,057.00 ", 0.05 
310833286,09/12/19,31/12/20,RAMA EXPORTS," 1,59,396.00 "," 5,34,078.00 ", 168.00 ," 5,33,910.00 "," 5,34,078.00 ", -   ," 1,33,477.50 ", 0.50 ," 1,33,477.00 "," 1,33,477.00 ", 0.50 ," 26,703.90 ", 8.90 ," 26,695.00 "," 26,695.00 ", 8.90 ," 4,450.65 ", 1.65 ," 4,449.00 "," 4,449.00 ", 1.65 ," 44,492.50 ", 0.50 ," 44,492.00 "," 44,491.00 ", 1.50 ," 47,304.28 "," 47,304.28 ", -   ," 47,304.00 ", 0.28 
310833310,09/12/19,31/12/20,RANI INTERNATIONAL, 390.00 ," 5,77,638.00 "," 2,160.00 "," 5,75,478.00 "," 5,39,838.00 "," 37,800.00 "," 1,43,869.50 ", 0.50 ," 1,43,869.00 "," 1,43,869.00 ", 0.50 ," 28,881.90 ", 108.90 ," 28,773.00 "," 1,682.00 "," 27,199.90 "," 4,813.65 ", 18.65 ," 4,795.00 "," 4,795.00 ", 18.65 ," 47,956.50 ", 0.50 ," 47,956.00 "," 47,955.00 ", 1.50 ," 67,914.47 "," 67,914.47 ", -   , -   ," 67,914.47 "
310833304,09/12/19,31/12/20,VANILA FOOD PRODUCTS," 14,31,393.00 "," 71,85,473.86 "," 21,27,493.86 "," 50,57,980.00 "," 71,85,473.00 ", 0.86 ," 17,96,368.47 "," 5,31,873.47 "," 12,64,495.00 "," 12,64,495.00 "," 5,31,873.47 "," 3,59,273.69 "," 1,06,374.69 "," 2,52,899.00 "," 1,60,015.00 "," 1,99,258.69 "," 59,878.95 "," 17,729.95 "," 42,149.00 "," 42,149.00 "," 17,729.95 "," 5,98,789.49 "," 1,77,291.49 "," 4,21,498.00 "," 4,21,497.00 "," 1,77,292.49 ",,,,,
