dfia,dfia_dt,dfia_exp,exporter,balance_cif,sugar_total,sugar_new,sugar_old,sugar_bal,juice_total,juice_new,juice_old,juice_bal,tartaric_total,tartaric_new,tartaric_old,tartaric_bal,essential_total,essential_new,essential_old,essential_bal,oci_total,oci_new,oci_old,oci_bal,pp_total,pp_new,pp_old,pp_bal
0310831630,2019-09-19,2020-09-30,VIVA FOOD PRODUCTS,586331.0,2520971.34,1125389.3399999999,1395582.0,0,630242.85,281347.85,348895.0,281347.85,126048.57,56269.57000000001,69779.0,56269.57000000001,21008.094,5728.094000000001,15280.0,5728.094000000001,210080.94,93782.383,116298.557,93785.383,136784.54,70224.54000000001,66560.0,2.0
0310832464,2019-10-25,2020-10-25,RANI INTERNATIONAL,0.0,469494.912,2160.912000000011,467334.0,0,116833.728,0.728000000002794,116833.0,0.728000000002794,23474.745,108.74499999999898,23366.0,2413.744999999999,3912.457,18.45699999999988,3894.0,18.45699999999988,38944.576,0.5760000000009313,38944.0,42.57600000000093,35474.302,35474.302,0.0,1.0
0310832398,2019-10-23,2020-10-31,RANI INTERNATIONAL,136339.0,595243.0,2160.0,593083.0,0,148270.8,0.7999999999883585,148270.0,0.7999999999883585,29762.16,108.15999999999985,29654.0,108.15999999999985,4960.36,18.359999999999673,4942.0,18.359999999999673,49423.6,0.5999999999985448,49423.0,126.59999999999854,34663.122,34663.122,0.0,2.0
0310832433,2019-10-24,2020-10-31,RANI INTERNATIONAL,130059.0,522489.12,2160.1199999999953,520329.0,0,130082.28,0.27999999999883585,130082.0,0.27999999999883585,26124.456,108.45599999999831,26016.0,108.45599999999831,4354.076,18.076000000000022,4336.0,18.076000000000022,43360.76,0.7600000000020373,43360.0,42.76000000000204,47609.612,47609.612,0.0,0
0310832432,2019-10-24,2020-10-31,RANI INTERNATIONAL,98689.0,542322.864,2160.863999999943,540162.0,0,135040.716,0.7159999999857973,135040.0,0.7159999999857973,27116.143,108.14300000000003,27008.0,108.14300000000003,4519.357,18.35699999999997,4501.0,18.35699999999997,45013.572,0.5720000000001164,45013.0,84.57200000000012,54912.872,54912.872,0.0,0
0310832430,2019-10-24,2020-10-31,RANI INTERNATIONAL,185022.0,575822.1,2521.0999999999767,573301.0,0,143325.525,0.5249999999941792,143325.0,0.5249999999941792,28791.105,126.10499999999956,28665.0,126.10499999999956,4798.517,21.516999999999825,4777.0,21.516999999999825,47775.175,0.17500000000291038,47775.0,3.1750000000029104,47024.725,47024.725,0.0,1.0
0310833322,2019-12-10,2020-12-31,RAMA EXPORTS,98454.0,559158.0,168.0,558990.0,0,139747.5,0.5,139747.0,0.5,27957.9,8.900000000001455,27949.0,12.900000000001455,4659.65,1.6499999999996362,4658.0,1.6499999999996362,46582.5,0.5,46582.0,241.5,94057.05,94057.05,0.0,0
0310833286,2019-12-09,2020-12-31,RAMA EXPORTS,159396.0,534078.0,168.0,533910.0,0,133477.5,0.5,133477.0,0.5,26703.9,8.900000000001455,26695.0,8.900000000001455,4450.65,1.6499999999996362,4449.0,1.6499999999996362,44492.5,0.5,44492.0,1.5,47304.275,47304.275,0.0,0
0310833310,2019-12-09,2020-12-31,RANI INTERNATIONAL,390.0,577638.0,2160.0,575478.0,37800.0,143869.5,0.5,143869.0,0.5,28881.9,108.90000000000146,28773.0,27199.9,4813.65,18.649999999999636,4795.0,18.649999999999636,47956.5,0.5,47956.0,1.5,67914.472,67914.472,0.0,67914.0
0310833304,2019-12-09,2020-12-31,VANILA FOOD PRODUCTS,1431393.0,7185473.857,2127493.857,5057980.0,0,1796368.469,531873.469,1264495.0,531873.469,359273.69,106374.69,252899.0,199258.69,59878.948,17729.947999999997,42149.0,17729.947999999997,598789.493,177291.49300000002,421498.0,177292.49300000002,,,,
0310833303,2019-12-09,2020-12-31,RAMA EXPORTS,98323.0,536627.52,168.52000000001863,536459.0,0,134114.48,0.4800000000104774,134114.0,0.4800000000104774,26831.37,9.369999999998981,26822.0,13776.369999999999,4471.89,1.8900000000003274,4470.0,1.8900000000003274,44704.96,0.9599999999991269,44704.0,4.959999999999127,52692.12,52692.12,0.0,0
0310833305,2019-12-09,2020-12-31,RAMA EXPORTS,119897.0,432102.78,168.78000000002794,431934.0,0,107983.69,0.6900000000023283,107983.0,0.6900000000023283,21605.139,9.138999999999214,21596.0,21605.139,3600.85,1.849999999999909,3599.0,1.849999999999909,35994.97,0.9700000000011642,35994.0,4.970000000001164,45003.26,45003.26,0.0,0
0310833321,2019-12-10,2020-12-31,RAMA EXPORTS,194136.0,571407.15,168.15000000002328,571239.0,0,142809.787,0.7870000000111759,142809.0,0.7870000000111759,28570.357,9.356999999999971,28561.0,28570.357,4761.726,1.725999999999658,4760.0,2.725999999999658,47603.262,0.2620000000024447,47603.0,3.2620000000024447,44590.015,44590.015,0.0,0
0310833996,2020-01-08,2021-01-31,PARLE PRODUCTS PVT. ,1978824.0,1745557.462,1230948.462,514609.0,1745557.0,436389.367,307737.367,128652.0,307737.367,87277.691,61547.691000000006,25730.0,87277.691,14546.304,10258.304,4288.0,10258.304,145463.114,102579.114,42884.0,102583.114,383574.037,285519.037,98055.0,0
0310834153,2020-01-15,2021-01-31,V A GLOBAL BUSINESS,429483.0,744478.21,102375.20999999996,642103.0,744478.0,186119.55,25594.54999999999,160525.0,66903.54999999999,37223.91,5118.9100000000035,32105.0,37223.91,6203.98,853.9799999999996,5350.0,853.9799999999996,62039.85,8516.849999999999,53523.0,8519.849999999999,198960.0,11117.0,187843.0,0
0310834151,2020-01-15,2021-01-31,VIPUL KUMAR TRADING ,49305.0,276007.2,0.0,276007.2,0,69001.8,0.0,69001.8,3418.0,13800.36,0.0010000000002037268,13800.359,13800.001,2300.06,0.0,2300.06,0.0,23000.6,0.0,23000.6,2.0,17025.75,0.75,17025.0,0
0310834746,2020-02-10,2021-02-28,VIHANG FOOD Industri,254887.0,804753.78,102867.78000000003,701886.0,784753.0,201188.45,25717.45000000001,175471.0,25717.45000000001,40237.69,5143.690000000002,35094.0,40237.69,6706.28,857.2799999999997,5849.0,857.2799999999997,67062.82,8572.820000000007,58490.0,8572.820000000007,86737.35,11745.350000000006,74992.0,0
