type,sr_no,,CIFINR,CIFD,QTY,BENO,BEDT,PORT,DFIA
Debit-,6,E,116097.74,1386.24,82,2560776,14/03/24,INNSA1, 5611002535
Debit-,5,E,365283.13,4361.59,258,2560776,14/03/24,INNSA1, 5611002533
Debit-,5,E,3527579.42,41820.74,12373,2907748,06/04/24,INMUN1, 5211007496
Debit-,10,E,245155.8,2922,1948,2977784,11/04/24,INNSA1, 5211007086
Debit-,11,E,5896957.43,70411.43,20893.6,2565346,14/03/24,INTKD6, 5211007086
Debit-,11,E,11526127.92,137625.41,40838.4,2698252,22/03/24,INTKD6, 5211007086
Debit-,22,E,142103.65,1696.76,502,2713818,23/03/24,INMUN1, 5211007086
Debit-,6,E,223140.46,2659.6,62,2370082,01/03/24,INNSA1, 5211007086
Debit-,6,E,1523428.89,18190.2,1076,2560776,14/03/24,INNSA1, 5211007086
Debit-,10,E,5493738.31,65323.88,20038,9879244,29/01/24,INMUN1, 5211006995
Debit-,10,E,3263511.99,38897.64,11646,2328226,27/02/24,INMUN1, 5211006995
Debit-,10,E,3440260.35,41077.74,13468.11,2499478,09/03/24,INTKD6, 5211006995
Debit-,4,E,3401182.43,40466.18,6560,9699455,17/01/24,INMUN1, 5211006995
Debit-,5,E,5399724.6,64206,19575,9811861,24/01/24,INMUN1, 5211006995
Debit-,5,E,5955834.17,70818.48,21591,9877626,29/01/24,INMUN1, 5211006995
Debit-,5,E,3143007.41,37439.04,12691.2,9984639,05/02/24,INTKD6, 5211006995
Debit-,21,E,2553460.91,30489.09,11153,2511396,11/03/24,INNSA1, 5211006893
Debit-,41,E,2034598.95,24293.72,4260,2859187,03/04/24,INNSA1, 5211006893
Debit-,41,E,699625.98,8328.88,1708,2934763,08/04/24,INNSA1, 5211006893
Debit-,41,E,58044.89,693.07,77,2955692,10/04/24,INNSA1, 5211006893
Debit-,41,E,2471206.12,29506.94,4034.04,3026345,15/04/24,INNSA1, 5211006893
Debit-,7,E,4487401.6,53580.91,19600,2634784,19/03/24,INNSA1, 5211006893
Debit-,7,E,20788599.62,246456.43,10500,2902421,06/04/24,INNSA1, 5211006893
Debit-,13,E,513320.04,6114.59,912,2320228,27/02/24,INNSA1, 5211006864
Debit-,13,E,7882769.02,93898.38,12024.37,2337011,28/02/24,INNSA1, 5211006864
Debit-,13,E,1870735.71,22204.58,2101,2529596,12/03/24,INNSA1, 5211006864
Debit-,13,E,3126181.18,37260.8,6193.06,2531201,12/03/24,INNSA1, 5211006864
Debit-,13,E,11836218.28,141075.31,19582.2,2566726,14/03/24,INNSA1, 5211006864
Debit-,13,E,6691487.47,79708.01,10207.19,2570790,14/03/24,INNSA1, 5211006864
Debit-,13,E,2750226.49,32624.28,5980.52,2571427,14/03/24,INNSA1, 5211006864
Debit-,13,E,2433813.71,29060.46,3973,3026345,15/04/24,INNSA1, 5211006864
Debit-,21,E,21821654.12,260091.23,11192,2372647,01/03/24,INNSA1, 5211006864
Debit-,27,E,7255734.65,86583.95,11763.46,2124915,13/02/24,INNSA1, 5211006864
Debit-,27,E,2867689.05,34017.66,7953,2239593,21/02/24,INNSA1, 5211006864
Debit-,27,E,3090700.65,36815.97,6860,2299715,26/02/24,INNSA1, 5211006864
Debit-,27,E,3442724.44,40838.96,4104,2445861,06/03/24,INNSA1, 5211006864
Debit-,27,E,3870762.84,46107.96,7614.47,2466738,07/03/24,INNSA1, 5211006864
Debit-,27,E,1356138.51,16154.12,1670.38,2523664,11/03/24,INNSA1, 5211006864
Debit-,27,E,1267249.24,15104.28,2100,2570169,14/03/24,INBOM4, 5211006864
Debit-,27,E,2353573.4,28035.42,4600.13,2571678,14/03/24,INNSA1, 5211006864
Debit-,27,E,942119.3,11215.71,2300,2934763,08/04/24,INNSA1, 5211006864
Debit-,3,E,3342954.53,39915.87,3664,2971893,11/04/24,INNSA1, 5211006864
Debit-,31,E,2524970.84,30148.91,2638.08,2972211,11/04/24,INNSA1, 5211006864
Debit-,35,E,4630667.15,55192.7,2375,2372647,01/03/24,INNSA1, 5211006864
Debit-,41,E,6395098.53,76041.6,10500.84,2132701,14/02/24,INNSA1, 5211006864
Debit-,41,E,888627.88,10566.32,1249.02,2242982,22/02/24,INNSA1, 5211006864
Debit-,41,E,1573965.63,18760.02,3360,2429945,05/03/24,INNSA1, 5211006864
Debit-,41,E,257114.19,3051.8,264.05,2445856,06/03/24,INNSA1, 5211006864
Debit-,41,E,535096.82,6351.3,600,2445854,06/03/24,INNSA1, 5211006864
Debit-,41,E,195882.66,2338.9,259.85,2955692,10/04/24,INNSA1, 5211006864
