DFIA,DFIA DT,DFIA EXP,DFIA File No,Exporter,BAL CIF,SUGAR,SUGAR QTY,PALM OIL,PALM QTY,WHEY,WHEY QTY,Skimmed,Skimmed QTY,DF,DF QTY,FF,FF QTY,VAL 10%
'0310721806,2013-01-23,2021-01-30,03/84/076/00149/AM13,DALSON FOOD IND,39376.0,17010000,0,15119020,55457.0,04041020,0,,,08023100,2.0,33010000,2.0,26809.0
'0310736630,2013-06-05,2019-07-10,03/91/076/00071/AM13,RAMA EXPORTS,73.0,17011110,29.0,15000000,0,,,19019090,0,23040090,0,13000000,0,22723.0
'0310737816,2013-06-17,2021-01-30,03/91/076/00007/AM14,RAMA EXPORTS,141.0,17010000,0,15119020,1803.0,04041020,0,,,08020000,2.0,08023100,1.0,31987.0
'0310737818,2013-06-17,2019-07-22,03/91/076/00003/AM14,RAMA EXPORTS,623.0,17011100,9.0,15000000,0,,,19019090,0,23040090,0,13000000,0,23634.0
'0310737945,2013-06-17,2019-07-10,03/91/076/00001/AM14,RANI INTERNATIO,3504.0,17011490,29.0,15000000,0,,,19019090,0,23040090,0,13000000,0,10279.0
'0310738503,2013-06-21,2019-07-10,03/91/076/00028/AM14,RAMA EXPORTS,183.0,17011190,2.0,15000000,0,,,19019090,0,23040090,0,13000000,0,11715.0
'0310739944,2013-07-03,2019-08-20,03/87/076/00007/AM14,Kulubi Impex,14169.0,17000000,17012.0,15119020,0,35020000,5240.0,,,11000000,2686.0,09000000,1432.0,8396.0
'0310740606,2013-07-08,2019-08-06,03/85/076/00009/AM14,LAXMI INTERNATI,1016.0,17000000,0,04000000,0,11000000,0,,,08023100,2530.0,09000000,0,21999.0
'0310788214,,,,,,,,,,,,,,,,,,
'0310806717,,,,,,,,,,,,,,,,,,
'0310810905,,,,,,,,,,,,,,,,,,
'0310813295,,,,,,,,,,,,,,,,,,
'0310813772,,,,,,,,,,,,,,,,,,
'0310814061,,,,,,,,,,,,,,,,,,
'0310814719,,,,,,,,,,,,,,,,,,
'0310816666,,,,,,,,,,,,,,,,,,
'0310823762,2018-09-14,2019-09-30,03/89/076/00010/AM18,STRAINA INTERNA,165638.0,17011490,64.0,15119020,0,,,13022000,329.0,,,29124200,5866.0,26132.0
'0310826316,2019-01-11,2019-09-30,03/89/076/00003/AM19,STRAINA INTERNA,196414.0,17011490,0,15119020,0,,,04041020,0,13022000,367.0,29124200,6524.0,28575.0
