DFIA,DFIA DT,DFIA EXP,Notf No,Exporter,TOTAL CIF,BAL CIF,Bearing QTY,IC QTY,Valves QTY,Alloy Steel QTY,Relevant Hot Rolled/ Cold Rolled Steel QTY,Is Individual
'3010105522,2020-11-18,2021-11-30,019/2015,INTERNATIONAL T,1487865.0,2485.0,9300.0,54.0,300.0,6865.0,,False
'3011000356,2021-04-13,2022-04-13,019/2015,INTERNATIONAL T,1467216.6,1467217.0,9300.0,300.0,300.0,175944.0,,False
'3011000691,2021-05-31,2022-05-31,019/2015,INTERNATIONAL T,1620260.33,380975.0,11482.0,324.0,230.0,2335.0,112209.0,False
'3011000733,2021-06-15,2022-06-15,019/2015,INTERNATIONAL T,2750297.63,68499.0,11399.0,111.0,173.0,3711.0,260800.0,False
'3011000786,2021-06-21,2022-06-21,019/2015,INTERNATIONAL T,3256079.08,30855.0,9277.0,44.0,100.0,116112.0,258218.0,False
'3011000685,2021-05-31,2022-05-31,019/2015,INTERNATIONAL T,2192560.0,486630.0,12994.0,192.0,0,80020.0,146602.0,False
'3011000839,2021-07-06,2022-07-06,019/2015,INTERNATIONAL T,1453080.71,65978.0,8112.0,300.0,195.0,32942.0,86760.0,False
'3011000849,2021-07-06,2022-07-06,019/2015,INTERNATIONAL T,1375141.43,228613.0,9228.0,106.0,298.0,94770.0,86181.0,False
'3011000944,2021-07-27,2022-07-27,019/2015,INTERNATIONAL T,4297321.82,2612062.0,16606.0,172.0,341.0,619699.0,,False
'3011000891,2021-07-16,2022-07-16,019/2015,INTERNATIONAL T,3243875.12,1572791.0,10402.0,109.0,301.0,369781.0,,False
'3011000963,2021-08-02,2022-08-02,019/2015,INTERNATIONAL T,2102336.18,1414888.0,13156.0,171.0,0,358236.0,,False
'3011000961,2021-08-02,2022-08-02,019/2015,INTERNATIONAL T,1339390.06,248053.0,0,219.0,509.0,115906.0,81843.0,False
'3011000965,2021-08-02,2022-08-02,019/2015,INTERNATIONAL T,1508947.06,639665.0,0,238.0,302.0,177117.0,87338.0,False
'3011000956,2021-08-02,2022-08-02,019/2015,INTERNATIONAL T,2732235.78,1933457.0,0,241.0,235.0,420983.0,,False
'3011000957,2021-08-02,2022-08-02,019/2015,INTERNATIONAL T,1455954.71,604651.0,0,238.0,0,177117.0,87338.0,False
'3011000938,2021-07-27,2022-07-27,019/2015,INTERNATIONAL T,3079185.3,1242593.0,0,186.0,314.0,401922.0,270268.0,False
'3011000939,2021-07-27,2022-07-27,019/2015,INTERNATIONAL T,1572134.31,227230.0,0,124.0,376.0,171726.0,133001.0,False
'3011000940,2021-07-27,2022-07-27,019/2015,INTERNATIONAL T,2746323.45,1460203.0,0,104.0,296.0,471232.0,254775.0,False
